inputX outputFx trueFx diffFx
1.943 0.472 0.479 0.007
1.953 0.468 0.475 0.007
1.963 0.464 0.471 0.006
1.973 0.461 0.467 0.006
1.982 0.457 0.462 0.005
1.992 0.453 0.458 0.005
2.002 0.449 0.454 0.005
2.012 0.445 0.450 0.004
2.021 0.441 0.445 0.004
2.031 0.437 0.441 0.004
2.041 0.433 0.437 0.004
2.051 0.429 0.433 0.003
2.061 0.425 0.428 0.003
2.070 0.421 0.424 0.003
2.080 0.417 0.420 0.003
2.090 0.413 0.415 0.002
2.100 0.409 0.411 0.002
2.109 0.405 0.407 0.002
2.119 0.401 0.403 0.002
2.129 0.397 0.398 0.001
2.139 0.393 0.394 0.001
2.148 0.389 0.390 0.001
2.158 0.385 0.386 0.001
2.168 0.381 0.381 0.000
2.178 0.377 0.377 0.000
2.188 0.373 0.373 0.000
2.197 0.369 0.369 0.000
2.207 0.365 0.364 0.001
2.217 0.361 0.360 0.001
2.227 0.357 0.356 0.001
2.236 0.353 0.352 0.001
2.246 0.349 0.348 0.002
2.256 0.345 0.343 0.002
2.266 0.341 0.339 0.002
2.275 0.337 0.335 0.002
2.285 0.333 0.331 0.002
2.295 0.329 0.326 0.003
2.305 0.325 0.322 0.003
2.314 0.321 0.318 0.003
2.324 0.317 0.314 0.003
2.334 0.313 0.310 0.003
2.344 0.309 0.305 0.004
2.354 0.305 0.301 0.004
2.363 0.301 0.297 0.004
2.373 0.297 0.293 0.004
2.383 0.293 0.289 0.004
2.393 0.289 0.285 0.004
2.402 0.285 0.280 0.005
2.412 0.281 0.276 0.005
2.422 0.277 0.272 0.005
2.432 0.273 0.268 0.005
2.441 0.269 0.264 0.005
2.451 0.265 0.260 0.005
2.461 0.261 0.256 0.005
2.471 0.257 0.252 0.005
2.480 0.253 0.248 0.005
2.490 0.249 0.243 0.006
2.500 0.245 0.239 0.006
2.510 0.241 0.235 0.006
2.520 0.237 0.231 0.006
2.529 0.233 0.227 0.006
2.539 0.229 0.223 0.006
2.549 0.225 0.219 0.006
2.559 0.221 0.215 0.006
2.568 0.217 0.211 0.006
2.578 0.213 0.207 0.006
2.588 0.209 0.203 0.006
2.598 0.205 0.199 0.006
2.607 0.201 0.195 0.006
2.617 0.197 0.191 0.006
2.627 0.193 0.187 0.006
2.637 0.189 0.183 0.005
2.646 0.185 0.180 0.005
2.656 0.181 0.176 0.005
2.666 0.177 0.172 0.005
2.676 0.173 0.168 0.005
2.686 0.169 0.164 0.005
2.695 0.165 0.160 0.005
2.705 0.161 0.156 0.005
2.715 0.157 0.152 0.004
2.725 0.153 0.149 0.004
2.734 0.149 0.145 0.004
2.744 0.145 0.141 0.004
2.754 0.141 0.137 0.004
2.764 0.137 0.134 0.003
2.773 0.133 0.130 0.003
