inputX outputFx trueFx diffFx
8.096 0.112 0.120 0.008
8.105 0.112 0.119 0.008
8.115 0.111 0.119 0.008
8.125 0.110 0.119 0.009
8.135 0.109 0.118 0.009
8.145 0.108 0.118 0.009
8.154 0.108 0.117 0.009
8.164 0.107 0.117 0.010
8.174 0.106 0.116 0.010
8.184 0.105 0.116 0.010
8.193 0.105 0.115 0.011
8.203 0.104 0.115 0.011
8.213 0.103 0.114 0.011
8.223 0.102 0.113 0.011
8.232 0.101 0.113 0.011
8.242 0.101 0.112 0.012
8.252 0.100 0.112 0.012
8.262 0.099 0.111 0.012
8.271 0.098 0.111 0.012
8.281 0.097 0.110 0.012
8.291 0.097 0.109 0.013
8.301 0.096 0.109 0.013
8.311 0.095 0.108 0.013
8.320 0.094 0.107 0.013
8.330 0.094 0.107 0.013
8.340 0.093 0.106 0.013
8.350 0.092 0.105 0.013
8.359 0.091 0.105 0.013
8.369 0.090 0.104 0.014
8.379 0.090 0.103 0.014
8.389 0.089 0.103 0.014
8.398 0.088 0.102 0.014
8.408 0.087 0.101 0.014
8.418 0.087 0.100 0.014
8.428 0.086 0.100 0.014
8.438 0.085 0.099 0.014
8.447 0.084 0.098 0.014
8.457 0.083 0.097 0.014
8.467 0.083 0.097 0.014
8.477 0.082 0.096 0.014
8.486 0.081 0.095 0.014
8.496 0.080 0.094 0.014
8.506 0.080 0.093 0.014
8.516 0.079 0.093 0.014
8.525 0.078 0.092 0.014
8.535 0.077 0.091 0.014
8.545 0.076 0.090 0.014
8.555 0.076 0.089 0.014
8.564 0.075 0.089 0.014
8.574 0.074 0.088 0.014
8.584 0.073 0.087 0.014
8.594 0.073 0.086 0.013
8.604 0.072 0.085 0.013
8.613 0.071 0.084 0.013
8.623 0.070 0.083 0.013
8.633 0.069 0.082 0.013
8.643 0.069 0.082 0.013
8.652 0.068 0.081 0.013
8.662 0.067 0.080 0.013
8.672 0.066 0.079 0.013
8.682 0.065 0.078 0.012
8.691 0.065 0.077 0.012
8.701 0.064 0.076 0.012
8.711 0.063 0.075 0.012
8.721 0.062 0.074 0.012
8.730 0.062 0.073 0.012
8.740 0.061 0.072 0.012
8.750 0.060 0.071 0.011
8.760 0.059 0.070 0.011
8.770 0.058 0.069 0.011
8.779 0.058 0.069 0.011
8.789 0.057 0.068 0.011
8.799 0.056 0.067 0.010
8.809 0.055 0.066 0.010
8.818 0.055 0.065 0.010
8.828 0.054 0.064 0.010
8.838 0.053 0.063 0.010
8.848 0.052 0.062 0.009
8.857 0.051 0.061 0.009
8.867 0.051 0.060 0.009
8.877 0.050 0.059 0.009
8.887 0.049 0.058 0.009
8.896 0.048 0.057 0.008
8.906 0.048 0.056 0.008
8.916 0.047 0.055 0.008
8.926 0.046 0.054 0.008
8.936 0.045 0.053 0.007
8.945 0.044 0.052 0.007
8.955 0.044 0.051 0.007
8.965 0.043 0.050 0.007
8.975 0.042 0.048 0.006
8.984 0.041 0.047 0.006
8.994 0.040 0.046 0.006
9.004 0.040 0.045 0.005
9.014 0.040 0.044 0.004
9.023 0.040 0.043 0.003
9.033 0.040 0.042 0.002
9.043 0.040 0.041 0.001
9.053 0.040 0.040 0.000
9.062 0.040 0.039 0.001
9.072 0.040 0.038 0.002
9.082 0.040 0.037 0.003
9.092 0.040 0.036 0.004
9.102 0.040 0.035 0.005
9.111 0.040 0.034 0.006
9.121 0.040 0.033 0.007
9.131 0.040 0.032 0.008
9.141 0.040 0.031 0.009
9.150 0.040 0.030 0.010
9.160 0.040 0.029 0.011
9.170 0.040 0.027 0.013
9.180 0.040 0.026 0.014
9.189 0.040 0.025 0.015
9.199 0.040 0.024 0.016
9.209 0.040 0.023 0.017
9.219 0.040 0.022 0.018
9.229 0.040 0.021 0.019
9.238 0.040 0.020 0.020
9.248 0.040 0.019 0.021
9.258 0.040 0.018 0.022
9.268 0.040 0.017 0.023
9.277 0.040 0.016 0.024
9.287 0.040 0.015 0.025
9.297 0.040 0.014 0.026
9.307 0.040 0.013 0.027
9.316 0.040 0.012 0.028
9.326 0.040 0.011 0.029
9.336 0.040 0.010 0.030
9.346 0.040 0.008 0.032
9.355 0.040 0.007 0.033
9.365 0.040 0.006 0.034
9.375 0.040 0.005 0.035
9.385 0.040 0.004 0.036
9.395 0.040 0.003 0.037
9.404 0.040 0.002 0.038
9.414 0.040 0.001 0.039
9.424 0.040 0.000 0.040
9.434 0.040 -0.001 0.041
9.443 0.040 -0.002 0.042
9.453 0.040 -0.003 0.043
9.463 0.040 -0.004 0.044
9.473 0.040 -0.005 0.045
9.482 0.040 -0.006 0.046
9.492 0.040 -0.007 0.047
9.502 0.040 -0.008 0.048
9.512 0.040 -0.009 0.049
9.521 0.040 -0.010 0.050
9.531 0.040 -0.011 0.051
9.541 0.040 -0.012 0.052
9.551 0.040 -0.013 0.053
9.561 0.040 -0.014 0.054
9.570 0.040 -0.015 0.055
9.580 0.040 -0.016 0.056
9.590 0.040 -0.017 0.057
9.600 0.040 -0.018 0.058
9.609 0.040 -0.019 0.059
9.619 0.040 -0.020 0.060
9.629 0.040 -0.021 0.061
9.639 0.040 -0.022 0.062
9.648 0.040 -0.023 0.063
9.658 0.040 -0.024 0.064
9.668 0.040 -0.025 0.065
9.678 0.040 -0.026 0.066
9.688 0.040 -0.027 0.067
9.697 0.040 -0.028 0.068
9.707 0.040 -0.029 0.069
9.717 0.040 -0.030 0.070
9.727 0.040 -0.031 0.071
9.736 0.040 -0.031 0.071
9.746 0.040 -0.032 0.072
9.756 0.040 -0.033 0.073
9.766 0.040 -0.034 0.074
9.775 0.040 -0.035 0.075
9.785 0.040 -0.036 0.076
9.795 0.040 -0.037 0.077
9.805 0.040 -0.038 0.078
9.814 0.040 -0.039 0.079
9.824 0.040 -0.040 0.080
9.834 0.040 -0.040 0.080
9.844 0.040 -0.041 0.081
9.854 0.040 -0.042 0.082
9.863 0.040 -0.043 0.083
9.873 0.040 -0.044 0.084
9.883 0.040 -0.045 0.085
9.893 0.040 -0.046 0.086
9.902 0.040 -0.046 0.086
9.912 0.040 -0.047 0.087
9.922 0.040 -0.048 0.088
9.932 0.040 -0.049 0.089
9.941 0.040 -0.050 0.090
9.951 0.040 -0.050 0.090
9.961 0.040 -0.051 0.091
9.971 0.040 -0.052 0.092
9.980 0.040 -0.053 0.093
9.990 0.040 -0.054 0.094
