in_n1 in_n2 out1
8.500 24.438 -0.044
8.500 25.375 -0.041
8.500 26.312 -0.037
8.500 27.250 -0.030
8.500 28.188 -0.022
8.500 29.125 -0.013
8.500 30.062 -0.002
9.438 1.000 -0.010
9.438 1.938 0.059
9.438 2.875 0.127
9.438 3.812 0.194
9.438 4.750 0.260
9.438 5.688 0.323
9.438 6.625 0.381
9.438 7.562 0.433
9.438 8.500 0.473
9.438 9.438 0.496
9.438 10.375 0.493
9.438 11.312 0.457
9.438 12.250 0.387
9.438 13.188 0.294
9.438 14.125 0.199
9.438 15.062 0.121
9.438 16.000 0.064
9.438 16.938 0.027
9.438 17.875 0.003
9.438 18.812 -0.013
9.438 19.750 -0.024
9.438 20.688 -0.032
9.438 21.625 -0.038
9.438 22.562 -0.042
9.438 23.500 -0.045
9.438 24.438 -0.045
9.438 25.375 -0.044
9.438 26.312 -0.041
9.438 27.250 -0.036
9.438 28.188 -0.029
9.438 29.125 -0.021
9.438 30.062 -0.012
10.375 1.000 0.026
10.375 1.938 0.095
10.375 2.875 0.163
10.375 3.812 0.231
10.375 4.750 0.297
10.375 5.688 0.360
10.375 6.625 0.419
10.375 7.562 0.470
10.375 8.500 0.511
10.375 9.438 0.533
10.375 10.375 0.529
10.375 11.312 0.491
10.375 12.250 0.418
10.375 13.188 0.321
10.375 14.125 0.223
10.375 15.062 0.141
10.375 16.000 0.082
10.375 16.938 0.042
10.375 17.875 0.016
10.375 18.812 -0.001
10.375 19.750 -0.014
10.375 20.688 -0.024
10.375 21.625 -0.032
10.375 22.562 -0.038
10.375 23.500 -0.042
10.375 24.438 -0.044
10.375 25.375 -0.045
10.375 26.312 -0.043
10.375 27.250 -0.040
10.375 28.188 -0.035
10.375 29.125 -0.028
10.375 30.062 -0.020
11.312 1.000 0.060
11.312 1.938 0.130
11.312 2.875 0.199
11.312 3.812 0.266
11.312 4.750 0.333
11.312 5.688 0.396
11.312 6.625 0.455
11.312 7.562 0.507
11.312 8.500 0.547
11.312 9.438 0.569
11.312 10.375 0.564
11.312 11.312 0.524
11.312 12.250 0.449
11.312 13.188 0.349
11.312 14.125 0.248
11.312 15.062 0.163
11.312 16.000 0.101
11.312 16.938 0.059
11.312 17.875 0.031
11.312 18.812 0.012
11.312 19.750 -0.003
11.312 20.688 -0.015
11.312 21.625 -0.024
11.312 22.562 -0.032
11.312 23.500 -0.038
11.312 24.438 -0.042
11.312 25.375 -0.044
11.312 26.312 -0.044
11.312 27.250 -0.042
11.312 28.188 -0.039
11.312 29.125 -0.034
11.312 30.062 -0.027
12.250 1.000 0.093
12.250 1.938 0.163
12.250 2.875 0.232
12.250 3.812 0.301
12.250 4.750 0.367
12.250 5.688 0.431
12.250 6.625 0.491
12.250 7.562 0.543
12.250 8.500 0.583
12.250 9.438 0.604
12.250 10.375 0.599
12.250 11.312 0.558
12.250 12.250 0.480
12.250 13.188 0.378
12.250 14.125 0.274
12.250 15.062 0.186
12.250 16.000 0.122
12.250 16.938 0.078
12.250 17.875 0.048
12.250 18.812 0.027
12.250 19.750 0.010
12.250 20.688 -0.003
12.250 21.625 -0.015
12.250 22.562 -0.024
12.250 23.500 -0.032
12.250 24.438 -0.038
12.250 25.375 -0.041
12.250 26.312 -0.043
12.250 27.250 -0.043
12.250 28.188 -0.041
12.250 29.125 -0.038
12.250 30.062 -0.033
13.188 1.000 0.124
13.188 1.938 0.195
13.188 2.875 0.265
13.188 3.812 0.334
13.188 4.750 0.401
13.188 5.688 0.465
13.188 6.625 0.525
13.188 7.562 0.577
13.188 8.500 0.618
13.188 9.438 0.640
13.188 10.375 0.634
13.188 11.312 0.592
13.188 12.250 0.513
13.188 13.188 0.409
13.188 14.125 0.302
13.188 15.062 0.212
13.188 16.000 0.146
13.188 16.938 0.100
13.188 17.875 0.068
13.188 18.812 0.045
13.188 19.750 0.027
13.188 20.688 0.011
13.188 21.625 -0.002
13.188 22.562 -0.013
13.188 23.500 -0.023
13.188 24.438 -0.030
13.188 25.375 -0.036
13.188 26.312 -0.040
13.188 27.250 -0.041
13.188 28.188 -0.041
13.188 29.125 -0.040
13.188 30.062 -0.037
14.125 1.000 0.154
14.125 1.938 0.226
14.125 2.875 0.296
14.125 3.812 0.366
14.125 4.750 0.434
14.125 5.688 0.499
14.125 6.625 0.559
14.125 7.562 0.612
14.125 8.500 0.653
14.125 9.438 0.675
14.125 10.375 0.669
14.125 11.312 0.627
14.125 12.250 0.548
14.125 13.188 0.443
14.125 14.125 0.334
14.125 15.062 0.242
14.125 16.000 0.174
14.125 16.938 0.126
14.125 17.875 0.093
14.125 18.812 0.068
14.125 19.750 0.048
14.125 20.688 0.030
14.125 21.625 0.015
14.125 22.562 0.002
14.125 23.500 -0.009
14.125 24.438 -0.019
14.125 25.375 -0.026
14.125 26.312 -0.032
14.125 27.250 -0.036
14.125 28.188 -0.038
14.125 29.125 -0.038
14.125 30.062 -0.037
15.062 1.000 0.185
15.062 1.938 0.257
15.062 2.875 0.328
15.062 3.812 0.399
15.062 4.750 0.467
15.062 5.688 0.533
15.062 6.625 0.595
15.062 7.562 0.649
15.062 8.500 0.691
15.062 9.438 0.713
15.062 10.375 0.708
15.062 11.312 0.667
15.062 12.250 0.588
15.062 13.188 0.483
15.062 14.125 0.374
15.062 15.062 0.280
15.062 16.000 0.211
15.062 16.938 0.161
15.062 17.875 0.126
15.062 18.812 0.099
15.062 19.750 0.077
15.062 20.688 0.058
15.062 21.625 0.041
15.062 22.562 0.025
15.062 23.500 0.012
15.062 24.438 0.000
15.062 25.375 -0.010
15.062 26.312 -0.017
15.062 27.250 -0.023
15.062 28.188 -0.028
15.062 29.125 -0.030
15.062 30.062 -0.031
16.000 1.000 0.217
16.000 1.938 0.290
16.000 2.875 0.362
16.000 3.812 0.434
16.000 4.750 0.504
16.000 5.688 0.571
16.000 6.625 0.633
16.000 7.562 0.689
16.000 8.500 0.732
16.000 9.438 0.757
16.000 10.375 0.754
16.000 11.312 0.714
16.000 12.250 0.637
16.000 13.188 0.533
16.000 14.125 0.425
16.000 15.062 0.331
16.000 16.000 0.261
16.000 16.938 0.210
16.000 17.875 0.173
16.000 18.812 0.145
16.000 19.750 0.121
16.000 20.688 0.099
16.000 21.625 0.080
16.000 22.562 0.062
16.000 23.500 0.046
16.000 24.438 0.032
16.000 25.375 0.019
16.000 26.312 0.009
16.000 27.250 0.000
16.000 28.188 -0.007
16.000 29.125 -0.012
16.000 30.062 -0.016
16.938 1.000 0.251
16.938 1.938 0.325
16.938 2.875 0.399
16.938 3.812 0.472
16.938 4.750 0.544
16.938 5.688 0.612
16.938 6.625 0.677
16.938 7.562 0.734
16.938 8.500 0.780
16.938 9.438 0.808
16.938 10.375 0.808
16.938 11.312 0.773
16.938 12.250 0.700
16.938 13.188 0.600
16.938 14.125 0.494
16.938 15.062 0.402
16.938 16.000 0.331
16.938 16.938 0.279
16.938 17.875 0.241
16.938 18.812 0.211
16.938 19.750 0.184
16.938 20.688 0.161
16.938 21.625 0.138
16.938 22.562 0.118
16.938 23.500 0.099
16.938 24.438 0.082
16.938 25.375 0.066
16.938 26.312 0.052
16.938 27.250 0.040
16.938 28.188 0.030
16.938 29.125 0.021
16.938 30.062 0.014
17.875 1.000 0.284
17.875 1.938 0.361
17.875 2.875 0.437
17.875 3.812 0.512
17.875 4.750 0.585
17.875 5.688 0.656
17.875 6.625 0.723
17.875 7.562 0.784
17.875 8.500 0.833
17.875 9.438 0.865
17.875 10.375 0.871
17.875 11.312 0.842
17.875 12.250 0.776
17.875 13.188 0.683
17.875 14.125 0.582
17.875 15.062 0.493
17.875 16.000 0.423
17.875 16.938 0.372
17.875 17.875 0.332
17.875 18.812 0.300
17.875 19.750 0.271
17.875 20.688 0.245
17.875 21.625 0.220
17.875 22.562 0.196
17.875 23.500 0.174
17.875 24.438 0.153
17.875 25.375 0.133
17.875 26.312 0.116
17.875 27.250 0.099
17.875 28.188 0.085
17.875 29.125 0.072
17.875 30.062 0.060
18.812 1.000 0.310
18.812 1.938 0.388
18.812 2.875 0.467
18.812 3.812 0.544
18.812 4.750 0.620
18.812 5.688 0.694
18.812 6.625 0.764
18.812 7.562 0.829
18.812 8.500 0.883
18.812 9.438 0.921
18.812 10.375 0.934
18.812 11.312 0.915
18.812 12.250 0.859
18.812 13.188 0.775
18.812 14.125 0.682
18.812 15.062 0.598
18.812 16.000 0.531
18.812 16.938 0.480
18.812 17.875 0.440
18.812 18.812 0.406
18.812 19.750 0.375
18.812 20.688 0.346
18.812 21.625 0.317
18.812 22.562 0.290
18.812 23.500 0.264
18.812 24.438 0.239
18.812 25.375 0.215
18.812 26.312 0.193
18.812 27.250 0.172
18.812 28.188 0.152
18.812 29.125 0.134
18.812 30.062 0.117
19.750 1.000 0.316
19.750 1.938 0.397
19.750 2.875 0.478
19.750 3.812 0.558
19.750 4.750 0.637
19.750 5.688 0.714
19.750 6.625 0.788
19.750 7.562 0.857
19.750 8.500 0.916
19.750 9.438 0.961
19.750 10.375 0.983
19.750 11.312 0.974
19.750 12.250 0.930
19.750 13.188 0.858
19.750 14.125 0.774
19.750 15.062 0.697
19.750 16.000 0.634
19.750 16.938 0.584
19.750 17.875 0.544
19.750 18.812 0.508
19.750 19.750 0.476
19.750 20.688 0.444
19.750 21.625 0.413
19.750 22.562 0.382
19.750 23.500 0.352
19.750 24.438 0.323
19.750 25.375 0.295
19.750 26.312 0.268
19.750 27.250 0.242
19.750 28.188 0.218
19.750 29.125 0.194
19.750 30.062 0.172
20.688 1.000 0.297
20.688 1.938 0.381
20.688 2.875 0.463
20.688 3.812 0.546
20.688 4.750 0.627
20.688 5.688 0.707
20.688 6.625 0.784
20.688 7.562 0.857
20.688 8.500 0.922
20.688 9.438 0.973
20.688 10.375 1.003
20.688 11.312 1.005
20.688 12.250 0.973
20.688 13.188 0.913
20.688 14.125 0.840
20.688 15.062 0.769
20.688 16.000 0.710
20.688 16.938 0.662
20.688 17.875 0.622
20.688 18.812 0.586
20.688 19.750 0.552
20.688 20.688 0.518
20.688 21.625 0.485
20.688 22.562 0.451
20.688 23.500 0.418
20.688 24.438 0.385
20.688 25.375 0.353
20.688 26.312 0.323
20.688 27.250 0.293
20.688 28.188 0.264
20.688 29.125 0.236
20.688 30.062 0.210
21.625 1.000 0.253
21.625 1.938 0.338
21.625 2.875 0.423
21.625 3.812 0.507
21.625 4.750 0.590
21.625 5.688 0.673
21.625 6.625 0.753
21.625 7.562 0.829
21.625 8.500 0.898
21.625 9.438 0.954
21.625 10.375 0.992
21.625 11.312 1.003
21.625 12.250 0.981
21.625 13.188 0.932
21.625 14.125 0.868
21.625 15.062 0.804
21.625 16.000 0.749
21.625 16.938 0.703
21.625 17.875 0.664
21.625 18.812 0.628
21.625 19.750 0.592
21.625 20.688 0.557
21.625 21.625 0.522
21.625 22.562 0.487
21.625 23.500 0.451
21.625 24.438 0.416
21.625 25.375 0.381
21.625 26.312 0.347
21.625 27.250 0.314
21.625 28.188 0.282
21.625 29.125 0.251
21.625 30.062 0.221
22.562 1.000 0.190
22.562 1.938 0.276
22.562 2.875 0.362
22.562 3.812 0.448
22.562 4.750 0.533
22.562 5.688 0.617
22.562 6.625 0.699
22.562 7.562 0.777
22.562 8.500 0.849
22.562 9.438 0.910
22.562 10.375 0.954
22.562 11.312 0.972
22.562 12.250 0.959
22.562 13.188 0.918
22.562 14.125 0.861
22.562 15.062 0.803
22.562 16.000 0.752
22.562 16.938 0.708
22.562 17.875 0.669
22.562 18.812 0.633
22.562 19.750 0.598
22.562 20.688 0.562
22.562 21.625 0.526
22.562 22.562 0.489
22.562 23.500 0.452
22.562 24.438 0.415
22.562 25.375 0.379
22.562 26.312 0.343
22.562 27.250 0.308
22.562 28.188 0.273
22.562 29.125 0.240
22.562 30.062 0.208
23.500 1.000 0.114
23.500 1.938 0.201
23.500 2.875 0.288
23.500 3.812 0.375
23.500 4.750 0.461
23.500 5.688 0.546
23.500 6.625 0.630
23.500 7.562 0.710
23.500 8.500 0.784
23.500 9.438 0.849
23.500 10.375 0.897
23.500 11.312 0.920
23.500 12.250 0.914
23.500 13.188 0.880
23.500 14.125 0.829
23.500 15.062 0.775
23.500 16.000 0.727
23.500 16.938 0.684
23.500 17.875 0.647
23.500 18.812 0.611
23.500 19.750 0.576
23.500 20.688 0.540
23.500 21.625 0.503
23.500 22.562 0.466
23.500 23.500 0.428
23.500 24.438 0.390
23.500 25.375 0.353
23.500 26.312 0.316
23.500 27.250 0.279
23.500 28.188 0.243
23.500 29.125 0.209
23.500 30.062 0.174
24.438 1.000 0.032
24.438 1.938 0.120
24.438 2.875 0.207
24.438 3.812 0.294
24.438 4.750 0.381
24.438 5.688 0.467
24.438 6.625 0.552
24.438 7.562 0.633
24.438 8.500 0.710
24.438 9.438 0.777
24.438 10.375 0.828
24.438 11.312 0.855
24.438 12.250 0.854
24.438 13.188 0.825
24.438 14.125 0.779
24.438 15.062 0.729
24.438 16.000 0.683
24.438 16.938 0.642
24.438 17.875 0.605
24.438 18.812 0.570
24.438 19.750 0.535
24.438 20.688 0.500
24.438 21.625 0.463
24.438 22.562 0.425
24.438 23.500 0.387
24.438 24.438 0.349
24.438 25.375 0.311
24.438 26.312 0.273
24.438 27.250 0.236
24.438 28.188 0.199
24.438 29.125 0.163
24.438 30.062 0.128
25.375 1.000 -0.054
25.375 1.938 0.034
25.375 2.875 0.122
25.375 3.812 0.210
25.375 4.750 0.297
25.375 5.688 0.384
25.375 6.625 0.469
25.375 7.562 0.552
25.375 8.500 0.629
25.375 9.438 0.698
25.375 10.375 0.752
25.375 11.312 0.783
25.375 12.250 0.785
25.375 13.188 0.761
25.375 14.125 0.719
25.375 15.062 0.672
25.375 16.000 0.627
25.375 16.938 0.588
25.375 17.875 0.552
25.375 18.812 0.518
25.375 19.750 0.483
25.375 20.688 0.448
25.375 21.625 0.411
25.375 22.562 0.373
25.375 23.500 0.335
25.375 24.438 0.297
25.375 25.375 0.258
25.375 26.312 0.220
25.375 27.250 0.183
25.375 28.188 0.146
25.375 29.125 0.109
25.375 30.062 0.074
26.312 1.000 -0.141
26.312 1.938 -0.053
26.312 2.875 0.035
26.312 3.812 0.123
26.312 4.750 0.211
26.312 5.688 0.298
26.312 6.625 0.384
26.312 7.562 0.467
26.312 8.500 0.546
26.312 9.438 0.616
26.312 10.375 0.671
26.312 11.312 0.705
26.312 12.250 0.711
26.312 13.188 0.690
26.312 14.125 0.651
26.312 15.062 0.607
26.312 16.000 0.565
26.312 16.938 0.527
26.312 17.875 0.492
26.312 18.812 0.458
26.312 19.750 0.424
26.312 20.688 0.388
26.312 21.625 0.352
26.312 22.562 0.314
26.312 23.500 0.276
26.312 24.438 0.238
26.312 25.375 0.199
26.312 26.312 0.161
26.312 27.250 0.124
26.312 28.188 0.086
26.312 29.125 0.050
26.312 30.062 0.014
27.250 1.000 -0.229
27.250 1.938 -0.141
27.250 2.875 -0.053
27.250 3.812 0.035
27.250 4.750 0.123
27.250 5.688 0.211
27.250 6.625 0.297
27.250 7.562 0.381
27.250 8.500 0.460
27.250 9.438 0.532
27.250 10.375 0.589
27.250 11.312 0.625
27.250 12.250 0.634
27.250 13.188 0.616
27.250 14.125 0.580
27.250 15.062 0.538
27.250 16.000 0.497
27.250 16.938 0.461
27.250 17.875 0.427
27.250 18.812 0.393
27.250 19.750 0.360
27.250 20.688 0.325
27.250 21.625 0.289
27.250 22.562 0.251
27.250 23.500 0.214
27.250 24.438 0.175
27.250 25.375 0.137
27.250 26.312 0.099
27.250 27.250 0.061
27.250 28.188 0.024
27.250 29.125 -0.013
27.250 30.062 -0.049
28.188 1.000 -0.318
28.188 1.938 -0.230
28.188 2.875 -0.141
28.188 3.812 -0.053
28.188 4.750 0.035
28.188 5.688 0.123
28.188 6.625 0.210
28.188 7.562 0.294
28.188 8.500 0.374
28.188 9.438 0.447
28.188 10.375 0.506
28.188 11.312 0.544
28.188 12.250 0.555
28.188 13.188 0.540
28.188 14.125 0.507
28.188 15.062 0.467
28.188 16.000 0.428
28.188 16.938 0.392
28.188 17.875 0.359
28.188 18.812 0.326
28.188 19.750 0.293
28.188 20.688 0.259
28.188 21.625 0.223
28.188 22.562 0.186
28.188 23.500 0.148
28.188 24.438 0.110
28.188 25.375 0.072
28.188 26.312 0.034
28.188 27.250 -0.004
28.188 28.188 -0.041
28.188 29.125 -0.078
28.188 30.062 -0.114
29.125 1.000 -0.407
29.125 1.938 -0.318
29.125 2.875 -0.230
29.125 3.812 -0.141
29.125 4.750 -0.053
29.125 5.688 0.035
29.125 6.625 0.122
29.125 7.562 0.207
29.125 8.500 0.288
29.125 9.438 0.361
29.125 10.375 0.421
29.125 11.312 0.461
29.125 12.250 0.475
29.125 13.188 0.463
29.125 14.125 0.432
29.125 15.062 0.394
29.125 16.000 0.356
29.125 16.938 0.321
29.125 17.875 0.289
29.125 18.812 0.257
29.125 19.750 0.225
29.125 20.688 0.191
29.125 21.625 0.155
29.125 22.562 0.119
29.125 23.500 0.081
29.125 24.438 0.043
29.125 25.375 0.005
29.125 26.312 -0.032
29.125 27.250 -0.070
29.125 28.188 -0.107
29.125 29.125 -0.144
29.125 30.062 -0.179
30.062 1.000 -0.495
30.062 1.938 -0.407
30.062 2.875 -0.318
30.062 3.812 -0.230
30.062 4.750 -0.141
30.062 5.688 -0.053
30.062 6.625 0.034
30.062 7.562 0.119
30.062 8.500 0.201
30.062 9.438 0.275
30.062 10.375 0.337
30.062 11.312 0.378
30.062 12.250 0.394
30.062 13.188 0.384
30.062 14.125 0.356
30.062 15.062 0.320
30.062 16.000 0.284
30.062 16.938 0.250
30.062 17.875 0.218
30.062 18.812 0.187
30.062 19.750 0.155
30.062 20.688 0.122
30.062 21.625 0.087
30.062 22.562 0.050
30.062 23.500 0.013
30.062 24.438 -0.024
30.062 25.375 -0.062
30.062 26.312 -0.100
30.062 27.250 -0.137
30.062 28.188 -0.174
30.062 29.125 -0.210
30.062 30.062 -0.246
