in_n1 in_n2 out1
1.000 1.000 -0.339
1.000 1.938 -0.272
1.000 2.875 -0.205
1.000 3.812 -0.140
1.000 4.750 -0.075
1.000 5.688 -0.012
1.000 6.625 0.048
1.000 7.562 0.103
1.000 8.500 0.150
1.000 9.438 0.184
1.000 10.375 0.200
1.000 11.312 0.191
1.000 12.250 0.158
1.000 13.188 0.107
1.000 14.125 0.054
1.000 15.062 0.012
1.000 16.000 -0.015
1.000 16.938 -0.028
1.000 17.875 -0.032
1.000 18.812 -0.030
1.000 19.750 -0.025
1.000 20.688 -0.018
1.000 21.625 -0.010
1.000 22.562 -0.000
1.000 23.500 0.011
1.000 24.438 0.023
1.000 25.375 0.036
1.000 26.312 0.051
1.000 27.250 0.067
1.000 28.188 0.084
1.000 29.125 0.102
1.000 30.062 0.121
1.938 1.000 -0.304
1.938 1.938 -0.237
1.938 2.875 -0.170
1.938 3.812 -0.104
1.938 4.750 -0.040
1.938 5.688 0.023
1.938 6.625 0.083
1.938 7.562 0.137
1.938 8.500 0.183
1.938 9.438 0.216
1.938 10.375 0.229
1.938 11.312 0.217
1.938 12.250 0.179
1.938 13.188 0.123
1.938 14.125 0.064
1.938 15.062 0.017
1.938 16.000 -0.013
1.938 16.938 -0.029
1.938 17.875 -0.035
1.938 18.812 -0.035
1.938 19.750 -0.031
1.938 20.688 -0.026
1.938 21.625 -0.019
1.938 22.562 -0.011
1.938 23.500 -0.001
1.938 24.438 0.009
1.938 25.375 0.022
1.938 26.312 0.035
1.938 27.250 0.050
1.938 28.188 0.066
1.938 29.125 0.084
1.938 30.062 0.102
2.875 1.000 -0.269
2.875 1.938 -0.201
2.875 2.875 -0.134
2.875 3.812 -0.068
2.875 4.750 -0.004
2.875 5.688 0.059
2.875 6.625 0.118
2.875 7.562 0.172
2.875 8.500 0.217
2.875 9.438 0.248
2.875 10.375 0.259
2.875 11.312 0.243
2.875 12.250 0.201
2.875 13.188 0.139
2.875 14.125 0.076
2.875 15.062 0.025
2.875 16.000 -0.009
2.875 16.938 -0.028
2.875 17.875 -0.036
2.875 18.812 -0.038
2.875 19.750 -0.036
2.875 20.688 -0.033
2.875 21.625 -0.027
2.875 22.562 -0.020
2.875 23.500 -0.012
2.875 24.438 -0.003
2.875 25.375 0.008
2.875 26.312 0.021
2.875 27.250 0.035
2.875 28.188 0.050
2.875 29.125 0.066
2.875 30.062 0.083
3.812 1.000 -0.232
3.812 1.938 -0.165
3.812 2.875 -0.098
3.812 3.812 -0.032
3.812 4.750 0.033
3.812 5.688 0.095
3.812 6.625 0.154
3.812 7.562 0.208
3.812 8.500 0.252
3.812 9.438 0.282
3.812 10.375 0.290
3.812 11.312 0.271
3.812 12.250 0.224
3.812 13.188 0.157
3.812 14.125 0.089
3.812 15.062 0.033
3.812 16.000 -0.004
3.812 16.938 -0.025
3.812 17.875 -0.036
3.812 18.812 -0.040
3.812 19.750 -0.040
3.812 20.688 -0.038
3.812 21.625 -0.034
3.812 22.562 -0.029
3.812 23.500 -0.022
3.812 24.438 -0.014
3.812 25.375 -0.004
3.812 26.312 0.008
3.812 27.250 0.020
3.812 28.188 0.034
3.812 29.125 0.050
3.812 30.062 0.066
4.750 1.000 -0.196
4.750 1.938 -0.128
4.750 2.875 -0.061
4.750 3.812 0.005
4.750 4.750 0.070
4.750 5.688 0.132
4.750 6.625 0.191
4.750 7.562 0.244
4.750 8.500 0.288
4.750 9.438 0.316
4.750 10.375 0.322
4.750 11.312 0.300
4.750 12.250 0.248
4.750 13.188 0.177
4.750 14.125 0.103
4.750 15.062 0.044
4.750 16.000 0.003
4.750 16.938 -0.021
4.750 17.875 -0.034
4.750 18.812 -0.040
4.750 19.750 -0.042
4.750 20.688 -0.041
4.750 21.625 -0.039
4.750 22.562 -0.035
4.750 23.500 -0.030
4.750 24.438 -0.023
4.750 25.375 -0.014
4.750 26.312 -0.004
4.750 27.250 0.007
4.750 28.188 0.020
4.750 29.125 0.034
4.750 30.062 0.050
5.688 1.000 -0.159
5.688 1.938 -0.091
5.688 2.875 -0.024
5.688 3.812 0.043
5.688 4.750 0.108
5.688 5.688 0.170
5.688 6.625 0.229
5.688 7.562 0.281
5.688 8.500 0.324
5.688 9.438 0.351
5.688 10.375 0.355
5.688 11.312 0.329
5.688 12.250 0.274
5.688 13.188 0.197
5.688 14.125 0.119
5.688 15.062 0.056
5.688 16.000 0.011
5.688 16.938 -0.015
5.688 17.875 -0.030
5.688 18.812 -0.038
5.688 19.750 -0.042
5.688 20.688 -0.043
5.688 21.625 -0.042
5.688 22.562 -0.040
5.688 23.500 -0.036
5.688 24.438 -0.031
5.688 25.375 -0.024
5.688 26.312 -0.015
5.688 27.250 -0.004
5.688 28.188 0.007
5.688 29.125 0.020
5.688 30.062 0.035
6.625 1.000 -0.121
6.625 1.938 -0.053
6.625 2.875 0.014
6.625 3.812 0.081
6.625 4.750 0.146
6.625 5.688 0.208
6.625 6.625 0.267
6.625 7.562 0.319
6.625 8.500 0.361
6.625 9.438 0.387
6.625 10.375 0.389
6.625 11.312 0.360
6.625 12.250 0.300
6.625 13.188 0.220
6.625 14.125 0.137
6.625 15.062 0.069
6.625 16.000 0.022
6.625 16.938 -0.008
6.625 17.875 -0.025
6.625 18.812 -0.035
6.625 19.750 -0.040
6.625 20.688 -0.043
6.625 21.625 -0.044
6.625 22.562 -0.043
6.625 23.500 -0.041
6.625 24.438 -0.037
6.625 25.375 -0.031
6.625 26.312 -0.024
6.625 27.250 -0.015
6.625 28.188 -0.004
6.625 29.125 0.008
6.625 30.062 0.021
7.562 1.000 -0.084
7.562 1.938 -0.016
7.562 2.875 0.052
7.562 3.812 0.119
7.562 4.750 0.184
7.562 5.688 0.246
7.562 6.625 0.305
7.562 7.562 0.357
7.562 8.500 0.398
7.562 9.438 0.423
7.562 10.375 0.423
7.562 11.312 0.392
7.562 12.250 0.328
7.562 13.188 0.243
7.562 14.125 0.156
7.562 15.062 0.085
7.562 16.000 0.034
7.562 16.938 0.002
7.562 17.875 -0.017
7.562 18.812 -0.029
7.562 19.750 -0.037
7.562 20.688 -0.041
7.562 21.625 -0.044
7.562 22.562 -0.045
7.562 23.500 -0.044
7.562 24.438 -0.041
7.562 25.375 -0.037
7.562 26.312 -0.031
7.562 27.250 -0.023
7.562 28.188 -0.014
7.562 29.125 -0.003
7.562 30.062 0.009
8.500 1.000 -0.047
8.500 1.938 0.022
8.500 2.875 0.090
8.500 3.812 0.157
8.500 4.750 0.222
8.500 5.688 0.285
8.500 6.625 0.343
8.500 7.562 0.395
8.500 8.500 0.436
8.500 9.438 0.460
8.500 10.375 0.458
8.500 11.312 0.424
8.500 12.250 0.357
8.500 13.188 0.268
8.500 14.125 0.177
8.500 15.062 0.102
8.500 16.000 0.048
8.500 16.938 0.014
8.500 17.875 -0.008
8.500 18.812 -0.022
8.500 19.750 -0.031
8.500 20.688 -0.037
8.500 21.625 -0.042
8.500 22.562 -0.044
8.500 23.500 -0.045
