in1 in2 in3 in4 in5 out
-0.300 -0.500 1.500 -3.000 0.750 -21.926
-0.300 -0.500 1.500 -3.000 1.000 -24.715
-0.300 -0.500 1.500 -3.000 1.250 -27.238
-0.300 -0.500 1.500 -1.500 0.500 -13.665
-0.300 -0.500 1.500 -1.500 0.750 -15.905
-0.300 -0.500 1.500 -1.500 1.000 -18.319
-0.300 -0.500 1.500 -1.500 1.250 -20.538
-0.300 -0.500 1.500 0.000 0.500 -7.997
-0.300 -0.500 1.500 0.000 0.750 -9.885
-0.300 -0.500 1.500 0.000 1.000 -11.922
-0.300 -0.500 1.500 0.000 1.250 -13.837
-0.300 -0.500 1.500 1.500 0.500 -2.329
-0.300 -0.500 1.500 1.500 0.750 -3.864
-0.300 -0.500 1.500 1.500 1.000 -5.526
-0.300 -0.500 1.500 1.500 1.250 -7.137
-0.300 0.000 -3.000 -3.000 0.500 -30.558
-0.300 0.000 -3.000 -3.000 0.750 -32.206
-0.300 0.000 -3.000 -3.000 1.000 -33.972
-0.300 0.000 -3.000 -3.000 1.250 -35.487
-0.300 0.000 -3.000 -1.500 0.500 -24.890
-0.300 0.000 -3.000 -1.500 0.750 -26.186
-0.300 0.000 -3.000 -1.500 1.000 -27.576
-0.300 0.000 -3.000 -1.500 1.250 -28.787
-0.300 0.000 -3.000 0.000 0.500 -19.222
-0.300 0.000 -3.000 0.000 0.750 -20.165
-0.300 0.000 -3.000 0.000 1.000 -21.179
-0.300 0.000 -3.000 0.000 1.250 -22.086
-0.300 0.000 -3.000 1.500 0.500 -13.554
-0.300 0.000 -3.000 1.500 0.750 -14.145
-0.300 0.000 -3.000 1.500 1.000 -14.783
-0.300 0.000 -3.000 1.500 1.250 -15.386
-0.300 0.000 -1.500 -3.000 0.500 -25.815
-0.300 0.000 -1.500 -3.000 0.750 -27.463
-0.300 0.000 -1.500 -3.000 1.000 -29.229
-0.300 0.000 -1.500 -3.000 1.250 -30.744
-0.300 0.000 -1.500 -1.500 0.500 -20.147
-0.300 0.000 -1.500 -1.500 0.750 -21.443
-0.300 0.000 -1.500 -1.500 1.000 -22.833
-0.300 0.000 -1.500 -1.500 1.250 -24.044
-0.300 0.000 -1.500 0.000 0.500 -14.479
-0.300 0.000 -1.500 0.000 0.750 -15.422
-0.300 0.000 -1.500 0.000 1.000 -16.436
-0.300 0.000 -1.500 0.000 1.250 -17.343
-0.300 0.000 -1.500 1.500 0.500 -8.811
-0.300 0.000 -1.500 1.500 0.750 -9.402
-0.300 0.000 -1.500 1.500 1.000 -10.040
-0.300 0.000 -1.500 1.500 1.250 -10.643
-0.300 0.000 0.000 -3.000 0.500 -21.072
-0.300 0.000 0.000 -3.000 0.750 -22.720
-0.300 0.000 0.000 -3.000 1.000 -24.486
-0.300 0.000 0.000 -3.000 1.250 -26.001
-0.300 0.000 0.000 -1.500 0.500 -15.404
-0.300 0.000 0.000 -1.500 0.750 -16.700
-0.300 0.000 0.000 -1.500 1.000 -18.090
-0.300 0.000 0.000 -1.500 1.250 -19.301
-0.300 0.000 0.000 0.000 0.500 -9.736
-0.300 0.000 0.000 0.000 0.750 -10.679
-0.300 0.000 0.000 0.000 1.000 -11.693
-0.300 0.000 0.000 0.000 1.250 -12.600
-0.300 0.000 0.000 1.500 0.500 -4.068
-0.300 0.000 0.000 1.500 0.750 -4.659
-0.300 0.000 0.000 1.500 1.000 -5.297
-0.300 0.000 0.000 1.500 1.250 -5.900
-0.300 0.000 1.500 -3.000 0.500 -16.329
-0.300 0.000 1.500 -3.000 0.750 -17.977
-0.300 0.000 1.500 -3.000 1.000 -19.743
-0.300 0.000 1.500 -3.000 1.250 -21.258
-0.300 0.000 1.500 -1.500 0.500 -10.661
-0.300 0.000 1.500 -1.500 0.750 -11.957
-0.300 0.000 1.500 -1.500 1.000 -13.347
-0.300 0.000 1.500 -1.500 1.250 -14.558
-0.300 0.000 1.500 0.000 0.500 -4.993
-0.300 0.000 1.500 0.000 0.750 -5.936
-0.300 0.000 1.500 0.000 1.000 -6.950
-0.300 0.000 1.500 0.000 1.250 -7.857
-0.300 0.000 1.500 1.500 0.500 0.675
-0.300 0.000 1.500 1.500 0.750 0.084
-0.300 0.000 1.500 1.500 1.000 -0.554
-0.300 0.000 1.500 1.500 1.250 -1.157
-0.300 0.500 -3.000 -3.000 0.500 -27.554
-0.300 0.500 -3.000 -3.000 0.750 -28.258
-0.300 0.500 -3.000 -3.000 1.000 -29.000
-0.300 0.500 -3.000 -3.000 1.250 -29.507
-0.300 0.500 -3.000 -1.500 0.500 -21.886
-0.300 0.500 -3.000 -1.500 0.750 -22.237
-0.300 0.500 -3.000 -1.500 1.000 -22.604
-0.300 0.500 -3.000 -1.500 1.250 -22.806
-0.300 0.500 -3.000 0.000 0.500 -16.218
-0.300 0.500 -3.000 0.000 0.750 -16.217
-0.300 0.500 -3.000 0.000 1.000 -16.207
-0.300 0.500 -3.000 0.000 1.250 -16.106
-0.300 0.500 -3.000 1.500 0.500 -10.550
-0.300 0.500 -3.000 1.500 0.750 -10.197
-0.300 0.500 -3.000 1.500 1.000 -9.811
-0.300 0.500 -3.000 1.500 1.250 -9.406
-0.300 0.500 -1.500 -3.000 0.500 -22.811
-0.300 0.500 -1.500 -3.000 0.750 -23.515
-0.300 0.500 -1.500 -3.000 1.000 -24.257
-0.300 0.500 -1.500 -3.000 1.250 -24.764
-0.300 0.500 -1.500 -1.500 0.500 -17.143
-0.300 0.500 -1.500 -1.500 0.750 -17.494
-0.300 0.500 -1.500 -1.500 1.000 -17.861
-0.300 0.500 -1.500 -1.500 1.250 -18.063
-0.300 0.500 -1.500 0.000 0.500 -11.475
-0.300 0.500 -1.500 0.000 0.750 -11.474
-0.300 0.500 -1.500 0.000 1.000 -11.464
-0.300 0.500 -1.500 0.000 1.250 -11.363
-0.300 0.500 -1.500 1.500 0.500 -5.807
-0.300 0.500 -1.500 1.500 0.750 -5.454
-0.300 0.500 -1.500 1.500 1.000 -5.068
-0.300 0.500 -1.500 1.500 1.250 -4.663
-0.300 0.500 0.000 -3.000 0.500 -18.068
-0.300 0.500 0.000 -3.000 0.750 -18.772
-0.300 0.500 0.000 -3.000 1.000 -19.514
-0.300 0.500 0.000 -3.000 1.250 -20.021
-0.300 0.500 0.000 -1.500 0.500 -12.400
-0.300 0.500 0.000 -1.500 0.750 -12.751
-0.300 0.500 0.000 -1.500 1.000 -13.118
-0.300 0.500 0.000 -1.500 1.250 -13.320
-0.300 0.500 0.000 0.000 0.500 -6.732
-0.300 0.500 0.000 0.000 0.750 -6.731
-0.300 0.500 0.000 0.000 1.000 -6.721
-0.300 0.500 0.000 0.000 1.250 -6.620
-0.300 0.500 0.000 1.500 0.500 -1.064
-0.300 0.500 0.000 1.500 0.750 -0.711
-0.300 0.500 0.000 1.500 1.000 -0.325
-0.300 0.500 0.000 1.500 1.250 0.080
-0.300 0.500 1.500 -3.000 0.500 -13.325
-0.300 0.500 1.500 -3.000 0.750 -14.029
-0.300 0.500 1.500 -3.000 1.000 -14.771
-0.300 0.500 1.500 -3.000 1.250 -15.278
-0.300 0.500 1.500 -1.500 0.500 -7.657
-0.300 0.500 1.500 -1.500 0.750 -8.008
-0.300 0.500 1.500 -1.500 1.000 -8.375
-0.300 0.500 1.500 -1.500 1.250 -8.577
-0.300 0.500 1.500 0.000 0.500 -1.989
-0.300 0.500 1.500 0.000 0.750 -1.988
-0.300 0.500 1.500 0.000 1.000 -1.978
-0.300 0.500 1.500 0.000 1.250 -1.877
-0.300 0.500 1.500 1.500 0.500 3.679
-0.300 0.500 1.500 1.500 0.750 4.032
-0.300 0.500 1.500 1.500 1.000 4.418
-0.300 0.500 1.500 1.500 1.250 4.823
-0.150 -1.000 -3.000 -3.000 0.500 -31.698
-0.150 -1.000 -3.000 -3.000 0.750 -34.763
-0.150 -1.000 -3.000 -3.000 1.000 -38.070
-0.150 -1.000 -3.000 -3.000 1.250 -41.147
-0.150 -1.000 -3.000 -1.500 0.500 -26.030
-0.150 -1.000 -3.000 -1.500 0.750 -28.743
-0.150 -1.000 -3.000 -1.500 1.000 -31.673
-0.150 -1.000 -3.000 -1.500 1.250 -34.446
-0.150 -1.000 -3.000 0.000 0.500 -20.362
-0.150 -1.000 -3.000 0.000 0.750 -22.723
-0.150 -1.000 -3.000 0.000 1.000 -25.277
-0.150 -1.000 -3.000 0.000 1.250 -27.746
-0.150 -1.000 -3.000 1.500 0.500 -14.694
-0.150 -1.000 -3.000 1.500 0.750 -16.702
-0.150 -1.000 -3.000 1.500 1.000 -18.880
-0.150 -1.000 -3.000 1.500 1.250 -21.046
-0.150 -1.000 -1.500 -3.000 0.500 -26.955
-0.150 -1.000 -1.500 -3.000 0.750 -30.020
-0.150 -1.000 -1.500 -3.000 1.000 -33.327
-0.150 -1.000 -1.500 -3.000 1.250 -36.404
-0.150 -1.000 -1.500 -1.500 0.500 -21.287
-0.150 -1.000 -1.500 -1.500 0.750 -24.000
-0.150 -1.000 -1.500 -1.500 1.000 -26.930
-0.150 -1.000 -1.500 -1.500 1.250 -29.703
-0.150 -1.000 -1.500 0.000 0.500 -15.619
-0.150 -1.000 -1.500 0.000 0.750 -17.980
-0.150 -1.000 -1.500 0.000 1.000 -20.534
-0.150 -1.000 -1.500 0.000 1.250 -23.003
-0.150 -1.000 -1.500 1.500 0.500 -9.951
-0.150 -1.000 -1.500 1.500 0.750 -11.959
-0.150 -1.000 -1.500 1.500 1.000 -14.137
-0.150 -1.000 -1.500 1.500 1.250 -16.303
-0.150 -1.000 0.000 -3.000 0.500 -22.212
-0.150 -1.000 0.000 -3.000 0.750 -25.277
-0.150 -1.000 0.000 -3.000 1.000 -28.584
-0.150 -1.000 0.000 -3.000 1.250 -31.661
-0.150 -1.000 0.000 -1.500 0.500 -16.544
-0.150 -1.000 0.000 -1.500 0.750 -19.257
-0.150 -1.000 0.000 -1.500 1.000 -22.187
-0.150 -1.000 0.000 -1.500 1.250 -24.960
-0.150 -1.000 0.000 0.000 0.500 -10.876
-0.150 -1.000 0.000 0.000 0.750 -13.237
-0.150 -1.000 0.000 0.000 1.000 -15.791
-0.150 -1.000 0.000 0.000 1.250 -18.260
-0.150 -1.000 0.000 1.500 0.500 -5.208
-0.150 -1.000 0.000 1.500 0.750 -7.216
-0.150 -1.000 0.000 1.500 1.000 -9.394
-0.150 -1.000 0.000 1.500 1.250 -11.560
-0.150 -1.000 1.500 -3.000 0.500 -17.469
-0.150 -1.000 1.500 -3.000 0.750 -20.534
-0.150 -1.000 1.500 -3.000 1.000 -23.841
-0.150 -1.000 1.500 -3.000 1.250 -26.918
-0.150 -1.000 1.500 -1.500 0.500 -11.801
-0.150 -1.000 1.500 -1.500 0.750 -14.514
-0.150 -1.000 1.500 -1.500 1.000 -17.444
-0.150 -1.000 1.500 -1.500 1.250 -20.217
-0.150 -1.000 1.500 0.000 0.500 -6.133
-0.150 -1.000 1.500 0.000 0.750 -8.494
-0.150 -1.000 1.500 0.000 1.000 -11.048
-0.150 -1.000 1.500 0.000 1.250 -13.517
-0.150 -1.000 1.500 1.500 0.500 -0.465
-0.150 -1.000 1.500 1.500 0.750 -2.473
-0.150 -1.000 1.500 1.500 1.000 -4.651
-0.150 -1.000 1.500 1.500 1.250 -6.817
-0.150 -0.500 -3.000 -3.000 0.500 -28.694
-0.150 -0.500 -3.000 -3.000 0.750 -30.815
-0.150 -0.500 -3.000 -3.000 1.000 -33.098
-0.150 -0.500 -3.000 -3.000 1.250 -35.167
-0.150 -0.500 -3.000 -1.500 0.500 -23.026
-0.150 -0.500 -3.000 -1.500 0.750 -24.795
-0.150 -0.500 -3.000 -1.500 1.000 -26.701
-0.150 -0.500 -3.000 -1.500 1.250 -28.466
-0.150 -0.500 -3.000 0.000 0.500 -17.358
-0.150 -0.500 -3.000 0.000 0.750 -18.774
-0.150 -0.500 -3.000 0.000 1.000 -20.305
-0.150 -0.500 -3.000 0.000 1.250 -21.766
-0.150 -0.500 -3.000 1.500 0.500 -11.690
-0.150 -0.500 -3.000 1.500 0.750 -12.754
-0.150 -0.500 -3.000 1.500 1.000 -13.908
-0.150 -0.500 -3.000 1.500 1.250 -15.066
-0.150 -0.500 -1.500 -3.000 0.500 -23.951
-0.150 -0.500 -1.500 -3.000 0.750 -26.072
-0.150 -0.500 -1.500 -3.000 1.000 -28.355
-0.150 -0.500 -1.500 -3.000 1.250 -30.424
-0.150 -0.500 -1.500 -1.500 0.500 -18.283
-0.150 -0.500 -1.500 -1.500 0.750 -20.052
-0.150 -0.500 -1.500 -1.500 1.000 -21.958
-0.150 -0.500 -1.500 -1.500 1.250 -23.723
-0.150 -0.500 -1.500 0.000 0.500 -12.615
-0.150 -0.500 -1.500 0.000 0.750 -14.031
-0.150 -0.500 -1.500 0.000 1.000 -15.562
-0.150 -0.500 -1.500 0.000 1.250 -17.023
-0.150 -0.500 -1.500 1.500 0.500 -6.947
-0.150 -0.500 -1.500 1.500 0.750 -8.011
-0.150 -0.500 -1.500 1.500 1.000 -9.165
-0.150 -0.500 -1.500 1.500 1.250 -10.323
-0.150 -0.500 0.000 -3.000 0.500 -19.208
-0.150 -0.500 0.000 -3.000 0.750 -21.329
-0.150 -0.500 0.000 -3.000 1.000 -23.612
-0.150 -0.500 0.000 -3.000 1.250 -25.681
