in1 in2 in3 in4 out
-0.900 -1.500 -0.040 -0.400 -1.974
-0.900 -1.500 -0.040 -0.240 -2.556
-0.900 -1.500 -0.040 -0.080 -3.151
-0.900 -1.500 -0.040 0.080 -3.883
-0.900 -1.500 -0.040 0.240 -4.762
-0.900 -1.500 0.040 -0.400 -2.999
-0.900 -1.500 0.040 -0.240 -3.492
-0.900 -1.500 0.040 -0.080 -4.036
-0.900 -1.500 0.040 0.080 -4.782
-0.900 -1.500 0.040 0.240 -5.650
-0.900 -1.500 0.120 -0.400 -4.014
-0.900 -1.500 0.120 -0.240 -4.453
-0.900 -1.500 0.120 -0.080 -4.949
-0.900 -1.500 0.120 0.080 -5.661
-0.900 -1.500 0.120 0.240 -6.501
-0.900 -0.900 -0.200 -0.400 1.321
-0.900 -0.900 -0.200 -0.240 0.639
-0.900 -0.900 -0.200 -0.080 -0.072
-0.900 -0.900 -0.200 0.080 -0.920
-0.900 -0.900 -0.200 0.240 -1.870
-0.900 -0.900 -0.120 -0.400 0.343
-0.900 -0.900 -0.120 -0.240 -0.314
-0.900 -0.900 -0.120 -0.080 -0.984
-0.900 -0.900 -0.120 0.080 -1.775
-0.900 -0.900 -0.120 0.240 -2.693
-0.900 -0.900 -0.040 -0.400 -0.652
-0.900 -0.900 -0.040 -0.240 -1.256
-0.900 -0.900 -0.040 -0.080 -1.883
-0.900 -0.900 -0.040 0.080 -2.649
-0.900 -0.900 -0.040 0.240 -3.543
-0.900 -0.900 0.040 -0.400 -1.677
-0.900 -0.900 0.040 -0.240 -2.193
-0.900 -0.900 0.040 -0.080 -2.768
-0.900 -0.900 0.040 0.080 -3.548
-0.900 -0.900 0.040 0.240 -4.431
-0.900 -0.900 0.120 -0.400 -2.691
-0.900 -0.900 0.120 -0.240 -3.153
-0.900 -0.900 0.120 -0.080 -3.680
-0.900 -0.900 0.120 0.080 -4.426
-0.900 -0.900 0.120 0.240 -5.281
-0.900 -0.300 -0.200 -0.400 2.664
-0.900 -0.300 -0.200 -0.240 1.928
-0.900 -0.300 -0.200 -0.080 1.171
-0.900 -0.300 -0.200 0.080 0.309
-0.900 -0.300 -0.200 0.240 -0.639
-0.900 -0.300 -0.120 -0.400 1.683
-0.900 -0.300 -0.120 -0.240 0.972
-0.900 -0.300 -0.120 -0.080 0.256
-0.900 -0.300 -0.120 0.080 -0.549
-0.900 -0.300 -0.120 0.240 -1.463
-0.900 -0.300 -0.040 -0.400 0.686
-0.900 -0.300 -0.040 -0.240 0.027
-0.900 -0.300 -0.040 -0.080 -0.645
-0.900 -0.300 -0.040 0.080 -1.424
-0.900 -0.300 -0.040 0.240 -2.315
-0.900 -0.300 0.040 -0.400 -0.339
-0.900 -0.300 0.040 -0.240 -0.910
-0.900 -0.300 0.040 -0.080 -1.530
-0.900 -0.300 0.040 0.080 -2.323
-0.900 -0.300 0.040 0.240 -3.202
-0.900 -0.300 0.120 -0.400 -1.351
-0.900 -0.300 0.120 -0.240 -1.867
-0.900 -0.300 0.120 -0.080 -2.439
-0.900 -0.300 0.120 0.080 -3.200
-0.900 -0.300 0.120 0.240 -4.051
-0.900 0.300 -0.200 -0.400 4.033
-0.900 0.300 -0.200 -0.240 3.200
-0.900 0.300 -0.200 -0.080 2.377
-0.900 0.300 -0.200 0.080 1.529
-0.900 0.300 -0.200 0.240 0.608
-0.900 0.300 -0.120 -0.400 3.047
-0.900 0.300 -0.120 -0.240 2.239
-0.900 0.300 -0.120 -0.080 1.457
-0.900 0.300 -0.120 0.080 0.667
-0.900 0.300 -0.120 0.240 -0.219
-0.900 0.300 -0.040 -0.400 2.044
-0.900 0.300 -0.040 -0.240 1.289
-0.900 0.300 -0.040 -0.080 0.552
-0.900 0.300 -0.040 0.080 -0.211
-0.900 0.300 -0.040 0.240 -1.074
-0.900 0.300 0.040 -0.400 1.019
-0.900 0.300 0.040 -0.240 0.353
-0.900 0.300 0.040 -0.080 -0.333
-0.900 0.300 0.040 0.080 -1.111
-0.900 0.300 0.040 0.240 -1.962
-0.900 0.300 0.120 -0.400 0.013
-0.900 0.300 0.120 -0.240 -0.601
-0.900 0.300 0.120 -0.080 -1.238
-0.900 0.300 0.120 0.080 -1.983
-0.900 0.300 0.120 0.240 -2.807
-0.900 0.900 -0.200 -0.400 5.377
-0.900 0.900 -0.200 -0.240 4.489
-0.900 0.900 -0.200 -0.080 3.620
-0.900 0.900 -0.200 0.080 2.758
-0.900 0.900 -0.200 0.240 1.840
-0.900 0.900 -0.120 -0.400 4.387
-0.900 0.900 -0.120 -0.240 3.525
-0.900 0.900 -0.120 -0.080 2.697
-0.900 0.900 -0.120 0.080 1.894
-0.900 0.900 -0.120 0.240 1.011
-0.900 0.900 -0.040 -0.400 3.382
-0.900 0.900 -0.040 -0.240 2.572
-0.900 0.900 -0.040 -0.080 1.790
-0.900 0.900 -0.040 0.080 1.013
-0.900 0.900 -0.040 0.240 0.154
-0.900 0.900 0.040 -0.400 2.357
-0.900 0.900 0.040 -0.240 1.636
-0.900 0.900 0.040 -0.080 0.905
-0.900 0.900 0.040 0.080 0.114
-0.900 0.900 0.040 0.240 -0.733
-0.900 0.900 0.120 -0.400 1.353
-0.900 0.900 0.120 -0.240 0.685
-0.900 0.900 0.120 -0.080 0.003
-0.900 0.900 0.120 0.080 -0.757
-0.900 0.900 0.120 0.240 -1.577
-0.300 -1.500 -0.200 -0.400 0.655
-0.300 -1.500 -0.200 -0.240 -0.043
-0.300 -1.500 -0.200 -0.080 -0.754
-0.300 -1.500 -0.200 0.080 -1.547
-0.300 -1.500 -0.200 0.240 -2.415
-0.300 -1.500 -0.120 -0.400 -0.271
-0.300 -1.500 -0.120 -0.240 -0.955
-0.300 -1.500 -0.120 -0.080 -1.648
-0.300 -1.500 -0.120 0.080 -2.418
-0.300 -1.500 -0.120 0.240 -3.274
-0.300 -1.500 -0.040 -0.400 -1.204
-0.300 -1.500 -0.040 -0.240 -1.859
-0.300 -1.500 -0.040 -0.080 -2.530
-0.300 -1.500 -0.040 0.080 -3.299
-0.300 -1.500 -0.040 0.240 -4.155
-0.300 -1.500 0.040 -0.400 -2.155
-0.300 -1.500 0.040 -0.240 -2.758
-0.300 -1.500 0.040 -0.080 -3.403
-0.300 -1.500 0.040 0.080 -4.197
-0.300 -1.500 0.040 0.240 -5.067
-0.300 -1.500 0.120 -0.400 -3.108
-0.300 -1.500 0.120 -0.240 -3.680
-0.300 -1.500 0.120 -0.080 -4.299
-0.300 -1.500 0.120 0.080 -5.084
-0.300 -1.500 0.120 0.240 -5.950
-0.300 -0.900 -0.200 -0.400 1.949
-0.300 -0.900 -0.200 -0.240 1.235
-0.300 -0.900 -0.200 -0.080 0.506
-0.300 -0.900 -0.200 0.080 -0.302
-0.300 -0.900 -0.200 0.240 -1.172
-0.300 -0.900 -0.120 -0.400 1.022
-0.300 -0.900 -0.120 -0.240 0.322
-0.300 -0.900 -0.120 -0.080 -0.389
