in1 in2 in3 in4 out
0.900 0.900 -0.120 -0.400 6.115
0.900 0.900 -0.120 -0.240 5.281
0.900 0.900 -0.120 -0.080 4.426
0.900 0.900 -0.120 0.080 3.680
0.900 0.900 -0.120 0.240 3.153
0.900 0.900 -0.040 -0.400 5.295
0.900 0.900 -0.040 -0.240 4.431
0.900 0.900 -0.040 -0.080 3.548
0.900 0.900 -0.040 0.080 2.768
0.900 0.900 -0.040 0.240 2.193
0.900 0.900 0.040 -0.400 4.450
0.900 0.900 0.040 -0.240 3.543
0.900 0.900 0.040 -0.080 2.649
0.900 0.900 0.040 0.080 1.883
0.900 0.900 0.040 0.240 1.256
0.900 0.900 0.120 -0.400 3.628
0.900 0.900 0.120 -0.240 2.693
0.900 0.900 0.120 -0.080 1.775
0.900 0.900 0.120 0.080 0.984
0.900 0.900 0.120 0.240 0.314
