input1 input2 output
-6.287 0.000 3.134
-6.287 0.530 3.288
-6.287 1.061 3.394
-6.287 1.591 3.397
-6.287 2.122 3.263
-6.287 2.652 3.062
-6.287 3.182 2.856
-6.287 3.713 2.665
-6.287 4.243 2.499
-6.287 4.773 2.366
-6.287 5.304 2.266
-6.287 5.834 2.188
-6.287 6.365 2.118
-6.287 6.895 2.051
-6.287 7.425 1.984
-6.287 7.956 1.916
-6.287 8.486 1.848
-6.287 9.016 1.778
-6.287 9.547 1.705
-6.287 10.077 1.629
-6.287 10.608 1.550
-6.287 11.138 1.468
-6.287 11.668 1.383
-6.287 12.199 1.292
-6.287 12.729 1.191
-6.287 13.259 1.080
-6.287 13.790 0.960
-6.287 14.320 0.831
-6.287 14.851 0.675
-6.287 15.381 0.464
-6.287 15.911 0.075
-6.287 16.442 -1.017
-5.559 0.000 3.775
-5.559 0.530 3.605
-5.559 1.061 3.436
-5.559 1.591 3.268
-5.559 2.122 3.101
-5.559 2.652 2.935
-5.559 3.182 2.774
-5.559 3.713 2.623
-5.559 4.243 2.487
-5.559 4.773 2.378
-5.559 5.304 2.295
-5.559 5.834 2.229
-5.559 6.365 2.165
-5.559 6.895 2.103
-5.559 7.425 2.038
-5.559 7.956 1.971
-5.559 8.486 1.903
-5.559 9.016 1.833
-5.559 9.547 1.760
-5.559 10.077 1.684
-5.559 10.608 1.606
-5.559 11.138 1.524
-5.559 11.668 1.439
-5.559 12.199 1.348
-5.559 12.729 1.251
-5.559 13.259 1.144
-5.559 13.790 1.028
-5.559 14.320 0.903
-5.559 14.851 0.755
-5.559 15.381 0.564
-5.559 15.911 0.231
-5.559 16.442 -0.655
-4.832 0.000 4.882
-4.832 0.530 4.261
-4.832 1.061 3.695
-4.832 1.591 3.254
-4.832 2.122 2.996
-4.832 2.652 2.845
-4.832 3.182 2.725
-4.832 3.713 2.613
-4.832 4.243 2.507
-4.832 4.773 2.417
-4.832 5.304 2.346
-4.832 5.834 2.285
-4.832 6.365 2.224
-4.832 6.895 2.162
-4.832 7.425 2.097
-4.832 7.956 2.029
-4.832 8.486 1.961
-4.832 9.016 1.890
-4.832 9.547 1.817
-4.832 10.077 1.741
-4.832 10.608 1.661
