input1 input2 output
-4.832 11.138 1.579
-4.832 11.668 1.493
-4.832 12.199 1.402
-4.832 12.729 1.307
-4.832 13.259 1.204
-4.832 13.790 1.091
-4.832 14.320 0.967
-4.832 14.851 0.827
-4.832 15.381 0.654
-4.832 15.911 0.375
-4.832 16.442 -0.310
-4.104 0.000 6.435
-4.104 0.530 5.285
-4.104 1.061 4.236
-4.104 1.591 3.425
-4.104 2.122 2.995
-4.104 2.652 2.816
-4.104 3.182 2.715
-4.104 3.713 2.632
-4.104 4.243 2.549
-4.104 4.773 2.471
-4.104 5.304 2.406
-4.104 5.834 2.346
-4.104 6.365 2.284
-4.104 6.895 2.221
-4.104 7.425 2.154
-4.104 7.956 2.085
-4.104 8.486 2.015
-4.104 9.016 1.943
-4.104 9.547 1.869
-4.104 10.077 1.792
-4.104 10.608 1.712
-4.104 11.138 1.628
-4.104 11.668 1.541
-4.104 12.199 1.450
-4.104 12.729 1.356
-4.104 13.259 1.255
-4.104 13.790 1.144
-4.104 14.320 1.022
-4.104 14.851 0.888
-4.104 15.381 0.731
-4.104 15.911 0.497
-4.104 16.442 -0.014
-3.376 0.000 8.271
-3.376 0.530 6.585
-3.376 1.061 5.028
-3.376 1.591 3.788
-3.376 2.122 3.114
-3.376 2.652 2.855
-3.376 3.182 2.743
-3.376 3.713 2.672
-3.376 4.243 2.601
-3.376 4.773 2.529
-3.376 5.304 2.465
-3.376 5.834 2.403
-3.376 6.365 2.338
-3.376 6.895 2.271
-3.376 7.425 2.203
-3.376 7.956 2.131
-3.376 8.486 2.059
-3.376 9.016 1.987
-3.376 9.547 1.912
-3.376 10.077 1.834
-3.376 10.608 1.753
-3.376 11.138 1.668
-3.376 11.668 1.580
-3.376 12.199 1.488
-3.376 12.729 1.395
-3.376 13.259 1.297
-3.376 13.790 1.188
-3.376 14.320 1.067
-3.376 14.851 0.937
-3.376 15.381 0.787
-3.376 15.911 0.592
-3.376 16.442 0.213
-2.648 0.000 10.197
-2.648 0.530 8.020
-2.648 1.061 5.977
-2.648 1.591 4.293
-2.648 2.122 3.330
-2.648 2.652 2.951
-2.648 3.182 2.804
-2.648 3.713 2.727
-2.648 4.243 2.659
-2.648 4.773 2.587
-2.648 5.304 2.520
-2.648 5.834 2.453
-2.648 6.365 2.383
-2.648 6.895 2.313
-2.648 7.425 2.241
-2.648 7.956 2.168
-2.648 8.486 2.095
-2.648 9.016 2.022
-2.648 9.547 1.946
-2.648 10.077 1.867
-2.648 10.608 1.785
-2.648 11.138 1.699
-2.648 11.668 1.609
-2.648 12.199 1.518
-2.648 12.729 1.426
-2.648 13.259 1.330
-2.648 13.790 1.221
-2.648 14.320 1.101
-2.648 14.851 0.972
-2.648 15.381 0.829
-2.648 15.911 0.657
-2.648 16.442 0.371
-1.921 0.000 11.932
-1.921 0.530 9.374
-1.921 1.061 6.934
-1.921 1.591 4.855
-1.921 2.122 3.602
-1.921 2.652 3.084
-1.921 3.182 2.883
-1.921 3.713 2.788
-1.921 4.243 2.714
-1.921 4.773 2.639
-1.921 5.304 2.566
-1.921 5.834 2.493
-1.921 6.365 2.418
-1.921 6.895 2.344
-1.921 7.425 2.270
-1.921 7.956 2.195
-1.921 8.486 2.121
-1.921 9.016 2.047
-1.921 9.547 1.970
-1.921 10.077 1.891
-1.921 10.608 1.808
-1.921 11.138 1.722
-1.921 11.668 1.630
-1.921 12.199 1.539
-1.921 12.729 1.449
-1.921 13.259 1.354
-1.921 13.790 1.245
-1.921 14.320 1.125
-1.921 14.851 0.996
-1.921 15.381 0.855
-1.921 15.911 0.697
-1.921 16.442 0.464
-1.193 0.000 13.070
-1.193 0.530 10.326
-1.193 1.061 7.668
-1.193 1.591 5.333
-1.193 2.122 3.858
-1.193 2.652 3.217
-1.193 3.182 2.959
-1.193 3.713 2.840
-1.193 4.243 2.755
-1.193 4.773 2.674
-1.193 5.304 2.596
-1.193 5.834 2.519
-1.193 6.365 2.441
-1.193 6.895 2.364
-1.193 7.425 2.288
-1.193 7.956 2.212
-1.193 8.486 2.137
-1.193 9.016 2.062
-1.193 9.547 1.986
-1.193 10.077 1.906
-1.193 10.608 1.823
-1.193 11.138 1.736
-1.193 11.668 1.644
-1.193 12.199 1.554
-1.193 12.729 1.465
-1.193 13.259 1.371
-1.193 13.790 1.263
-1.193 14.320 1.142
-1.193 14.851 1.009
-1.193 15.381 0.873
-1.193 15.911 0.720
-1.193 16.442 0.509
-0.465 0.000 13.188
-0.465 0.530 10.525
-0.465 1.061 7.913
-0.465 1.591 5.556
-0.465 2.122 4.009
-0.465 2.652 3.305
-0.465 3.182 3.010
-0.465 3.713 2.870
-0.465 4.243 2.775
-0.465 4.773 2.689
-0.465 5.304 2.610
-0.465 5.834 2.530
-0.465 6.365 2.451
-0.465 6.895 2.374
-0.465 7.425 2.298
-0.465 7.956 2.221
-0.465 8.486 2.146
-0.465 9.016 2.071
-0.465 9.547 1.994
-0.465 10.077 1.914
-0.465 10.608 1.830
-0.465 11.138 1.741
-0.465 11.668 1.652
-0.465 12.199 1.564
-0.465 12.729 1.477
-0.465 13.259 1.384
-0.465 13.790 1.276
-0.465 14.320 1.155
-0.465 14.851 1.021
-0.465 15.381 0.884
-0.465 15.911 0.733
-0.465 16.442 0.528
0.262 0.000 11.864
0.262 0.530 9.614
0.262 1.061 7.385
0.262 1.591 5.339
0.262 2.122 3.957
0.262 2.652 3.305
0.262 3.182 3.019
0.262 3.713 2.875
0.262 4.243 2.776
0.262 4.773 2.690
0.262 5.304 2.610
0.262 5.834 2.531
0.262 6.365 2.453
0.262 6.895 2.378
0.262 7.425 2.302
0.262 7.956 2.225
0.262 8.486 2.150
0.262 9.016 2.074
0.262 9.547 1.996
0.262 10.077 1.915
0.262 10.608 1.832
0.262 11.138 1.743
0.262 11.668 1.655
0.262 12.199 1.568
0.262 12.729 1.483
0.262 13.259 1.390
0.262 13.790 1.280
0.262 14.320 1.158
0.262 14.851 1.024
0.262 15.381 0.886
0.262 15.911 0.736
0.262 16.442 0.531
0.990 0.000 9.074
0.990 0.530 7.539
0.990 1.061 6.018
0.990 1.591 4.617
0.990 2.122 3.661
0.990 2.652 3.196
0.990 3.182 2.977
0.990 3.713 2.853
0.990 4.243 2.761
0.990 4.773 2.678
0.990 5.304 2.600
0.990 5.834 2.524
0.990 6.365 2.448
0.990 6.895 2.374
0.990 7.425 2.299
0.990 7.956 2.224
0.990 8.486 2.148
0.990 9.016 2.071
0.990 9.547 1.991
0.990 10.077 1.909
0.990 10.608 1.826
0.990 11.138 1.737
0.990 11.668 1.650
0.990 12.199 1.565
0.990 12.729 1.480
0.990 13.259 1.385
0.990 13.790 1.272
0.990 14.320 1.144
0.990 14.851 1.012
0.990 15.381 0.876
0.990 15.911 0.727
0.990 16.442 0.520
1.718 0.000 6.014
1.718 0.530 5.226
1.718 1.061 4.452
1.718 1.591 3.753
1.718 2.122 3.278
1.718 2.652 3.033
1.718 3.182 2.900
1.718 3.713 2.807
1.718 4.243 2.727
1.718 4.773 2.649
1.718 5.304 2.574
1.718 5.834 2.500
1.718 6.365 2.428
1.718 6.895 2.355
1.718 7.425 2.283
1.718 7.956 2.209
1.718 8.486 2.133
1.718 9.016 2.055
1.718 9.547 1.975
1.718 10.077 1.893
1.718 10.608 1.806
1.718 11.138 1.721
1.718 11.668 1.636
1.718 12.199 1.553
1.718 12.729 1.468
1.718 13.259 1.370
1.718 13.790 1.255
1.718 14.320 1.124
1.718 14.851 0.993
1.718 15.381 0.856
1.718 15.911 0.708
1.718 16.442 0.494
2.446 0.000 3.949
2.446 0.530 3.670
2.446 1.061 3.402
2.446 1.591 3.167
2.446 2.122 3.001
2.446 2.652 2.897
2.446 3.182 2.817
2.446 3.713 2.746
2.446 4.243 2.675
2.446 4.773 2.604
2.446 5.304 2.532
2.446 5.834 2.461
2.446 6.365 2.391
2.446 6.895 2.321
2.446 7.425 2.250
2.446 7.956 2.178
2.446 8.486 2.105
2.446 9.016 2.028
2.446 9.547 1.948
2.446 10.077 1.867
2.446 10.608 1.780
2.446 11.138 1.696
2.446 11.668 1.613
2.446 12.199 1.531
2.446 12.729 1.448
2.446 13.259 1.349
2.446 13.790 1.228
2.446 14.320 1.100
2.446 14.851 0.969
2.446 15.381 0.832
2.446 15.911 0.679
2.446 16.442 0.442
3.173 0.000 3.015
3.173 0.530 2.986
3.173 1.061 2.954
3.173 1.591 2.913
3.173 2.122 2.860
3.173 2.652 2.800
3.173 3.182 2.740
3.173 3.713 2.678
3.173 4.243 2.615
3.173 4.773 2.550
3.173 5.304 2.483
3.173 5.834 2.414
3.173 6.365 2.345
3.173 6.895 2.277
3.173 7.425 2.208
3.173 7.956 2.138
3.173 8.486 2.067
3.173 9.016 1.993
3.173 9.547 1.916
3.173 10.077 1.832
3.173 10.608 1.749
3.173 11.138 1.666
3.173 11.668 1.584
3.173 12.199 1.503
3.173 12.729 1.419
3.173 13.259 1.314
3.173 13.790 1.196
3.173 14.320 1.070
3.173 14.851 0.938
3.173 15.381 0.798
3.173 15.911 0.634
3.173 16.442 0.348
3.901 0.000 2.996
3.901 0.530 3.005
3.901 1.061 2.986
3.901 1.591 2.918
3.901 2.122 2.815
3.901 2.652 2.725
3.901 3.182 2.657
3.901 3.713 2.599
3.901 4.243 2.546
3.901 4.773 2.491
3.901 5.304 2.430
3.901 5.834 2.363
3.901 6.365 2.295
3.901 6.895 2.227
3.901 7.425 2.160
3.901 7.956 2.092
3.901 8.486 2.024
3.901 9.016 1.953
3.901 9.547 1.879
3.901 10.077 1.797
3.901 10.608 1.715
3.901 11.138 1.632
3.901 11.668 1.550
3.901 12.199 1.468
3.901 12.729 1.376
3.901 13.259 1.273
3.901 13.790 1.155
3.901 14.320 1.029
3.901 14.851 0.898
3.901 15.381 0.753
3.901 15.911 0.567
3.901 16.442 0.190
4.629 0.000 3.767
4.629 0.530 3.624
4.629 1.061 3.421
4.629 1.591 3.126
4.629 2.122 2.828
4.629 2.652 2.642
4.629 3.182 2.546
4.629 3.713 2.492
4.629 4.243 2.456
4.629 4.773 2.420
4.629 5.304 2.371
4.629 5.834 2.309
4.629 6.365 2.242
4.629 6.895 2.175
4.629 7.425 2.108
4.629 7.956 2.043
4.629 8.486 1.978
4.629 9.016 1.910
4.629 9.547 1.835
4.629 10.077 1.757
4.629 10.608 1.677
4.629 11.138 1.594
4.629 11.668 1.510
4.629 12.199 1.420
4.629 12.729 1.325
4.629 13.259 1.219
4.629 13.790 1.103
4.629 14.320 0.980
4.629 14.851 0.847
4.629 15.381 0.692
4.629 15.911 0.465
4.629 16.442 -0.077
5.356 0.000 5.286
5.356 0.530 4.805
5.356 1.061 4.220
5.356 1.591 3.499
5.356 2.122 2.858
5.356 2.652 2.511
5.356 3.182 2.372
5.356 3.713 2.328
5.356 4.243 2.322
5.356 4.773 2.321
5.356 5.304 2.297
5.356 5.834 2.248
5.356 6.365 2.186
5.356 6.895 2.119
5.356 7.425 2.053
5.356 7.956 1.989
5.356 8.486 1.927
5.356 9.016 1.862
5.356 9.547 1.788
5.356 10.077 1.712
5.356 10.608 1.632
5.356 11.138 1.548
5.356 11.668 1.458
5.356 12.199 1.365
5.356 12.729 1.263
5.356 13.259 1.153
5.356 13.790 1.039
5.356 14.320 0.919
5.356 14.851 0.783
5.356 15.381 0.606
5.356 15.911 0.298
5.356 16.442 -0.561
6.084 0.000 7.419
6.084 0.530 6.446
6.084 1.061 5.313
6.084 1.591 3.988
6.084 2.122 2.868
6.084 2.652 2.297
6.084 3.182 2.099
6.084 3.713 2.071
6.084 4.243 2.112
6.084 4.773 2.167
6.084 5.304 2.190
6.084 5.834 2.168
6.084 6.365 2.118
6.084 6.895 2.056
6.084 7.425 1.992
6.084 7.956 1.929
6.084 8.486 1.868
6.084 9.016 1.802
6.084 9.547 1.733
6.084 10.077 1.658
6.084 10.608 1.577
6.084 11.138 1.488
6.084 11.668 1.397
6.084 12.199 1.298
6.084 12.729 1.191
6.084 13.259 1.079
6.084 13.790 0.968
6.084 14.320 0.849
6.084 14.851 0.699
6.084 15.381 0.473
6.084 15.911 0.007
6.084 16.442 -1.450
6.812 0.000 9.754
6.812 0.530 8.242
6.812 1.061 6.503
6.812 1.591 4.504
6.812 2.122 2.841
6.812 2.652 2.010
6.812 3.182 1.738
6.812 3.713 1.723
6.812 4.243 1.819
6.812 4.773 1.946
6.812 5.304 2.037
6.812 5.834 2.060
6.812 6.365 2.033
6.812 6.895 1.982
6.812 7.425 1.922
6.812 7.956 1.861
6.812 8.486 1.798
6.812 9.016 1.735
6.812 9.547 1.666
6.812 10.077 1.588
6.812 10.608 1.506
6.812 11.138 1.420
6.812 11.668 1.327
6.812 12.199 1.225
6.812 12.729 1.115
6.812 13.259 1.005
6.812 13.790 0.898
6.812 14.320 0.769
6.812 14.851 0.582
6.812 15.381 0.261
6.812 15.911 -0.488
6.812 16.442 -2.987
7.540 0.000 11.917
7.540 0.530 9.901
7.540 1.061 7.595
7.540 1.591 4.962
7.540 2.122 2.785
7.540 2.652 1.700
7.540 3.182 1.350
7.540 3.713 1.340
7.540 4.243 1.485
7.540 4.773 1.686
7.540 5.304 1.852
7.540 5.834 1.929
7.540 6.365 1.934
7.540 6.895 1.899
7.540 7.425 1.846
7.540 7.956 1.783
7.540 8.486 1.722
7.540 9.016 1.655
7.540 9.547 1.585
7.540 10.077 1.509
7.540 10.608 1.428
7.540 11.138 1.342
7.540 11.668 1.248
7.540 12.199 1.146
7.540 12.729 1.037
7.540 13.259 0.927
7.540 13.790 0.811
7.540 14.320 0.651
7.540 14.851 0.389
7.540 15.381 -0.104
7.540 15.911 -1.323
7.540 16.442 -5.524
8.267 0.000 13.806
8.267 0.530 11.316
8.267 1.061 8.495
8.267 1.591 5.312
8.267 2.122 2.703
8.267 2.652 1.409
8.267 3.182 0.991
8.267 3.713 0.984
8.267 4.243 1.168
8.267 4.773 1.431
8.267 5.304 1.665
8.267 5.834 1.793
8.267 6.365 1.828
8.267 6.895 1.811
8.267 7.425 1.758
8.267 7.956 1.699
8.267 8.486 1.636
8.267 9.016 1.570
8.267 9.547 1.499
8.267 10.077 1.422
8.267 10.608 1.341
8.267 11.138 1.255
8.267 11.668 1.162
8.267 12.199 1.059
8.267 12.729 0.949
8.267 13.259 0.831
8.267 13.790 0.687
8.267 14.320 0.462
8.267 14.851 0.065
8.267 15.381 -0.717
8.267 15.911 -2.704
8.267 16.442 -9.643
8.995 0.000 15.404
8.995 0.530 12.426
8.995 1.061 9.120
8.995 1.591 5.492
8.995 2.122 2.591
8.995 2.652 1.174
8.995 3.182 0.724
8.995 3.713 0.723
8.995 4.243 0.931
8.995 4.773 1.231
8.995 5.304 1.505
8.995 5.834 1.666
8.995 6.365 1.719
8.995 6.895 1.712
8.995 7.425 1.671
8.995 7.956 1.612
8.995 8.486 1.547
8.995 9.016 1.478
8.995 9.547 1.405
8.995 10.077 1.328
8.995 10.608 1.246
8.995 11.138 1.160
8.995 11.668 1.067
8.995 12.199 0.964
8.995 12.729 0.847
8.995 13.259 0.708
8.995 13.790 0.507
8.995 14.320 0.164
8.995 14.851 -0.465
8.995 15.381 -1.727
8.995 15.911 -4.971
8.995 16.442 -16.386
9.723 0.000 16.675
9.723 0.530 13.103
9.723 1.061 9.300
9.723 1.591 5.377
9.723 2.122 2.425
9.723 2.652 1.051
9.723 3.182 0.642
9.723 3.713 0.662
9.723 4.243 0.872
9.723 4.773 1.160
9.723 5.304 1.424
9.723 5.834 1.575
9.723 6.365 1.628
9.723 6.895 1.621
9.723 7.425 1.579
9.723 7.956 1.518
9.723 8.486 1.450
9.723 9.016 1.378
9.723 9.547 1.303
9.723 10.077 1.224
9.723 10.608 1.143
9.723 11.138 1.056
9.723 11.668 0.961
9.723 12.199 0.851
9.723 12.729 0.715
9.723 13.259 0.522
9.723 13.790 0.207
9.723 14.320 -0.355
9.723 14.851 -1.400
9.723 15.381 -3.510
9.723 15.911 -8.958
9.723 16.442 -28.205
10.451 0.000 17.544
10.451 0.530 13.131
10.451 1.061 8.753
10.451 1.591 4.748
10.451 2.122 2.145
10.451 2.652 1.111
10.451 3.182 0.878
10.451 3.713 0.956
10.451 4.243 1.134
10.451 4.773 1.323
10.451 5.304 1.479
10.451 5.834 1.554
10.451 6.365 1.561
10.451 6.895 1.531
10.451 7.425 1.478
10.451 7.956 1.411
10.451 8.486 1.339
10.451 9.016 1.264
10.451 9.547 1.188
10.451 10.077 1.109
10.451 10.608 1.025
10.451 11.138 0.935
10.451 11.668 0.830
10.451 12.199 0.697
10.451 12.729 0.504
10.451 13.259 0.190
10.451 13.790 -0.350
10.451 14.320 -1.314
10.451 14.851 -3.103
10.451 15.381 -6.719
10.451 15.911 -16.067
10.451 16.442 -49.153
11.178 0.000 18.085
11.178 0.530 12.671
11.178 1.061 7.673
11.178 1.591 3.736
11.178 2.122 1.760
11.178 2.652 1.264
11.178 3.182 1.301
11.178 3.713 1.460
11.178 4.243 1.583
11.178 4.773 1.625
11.178 5.304 1.608
11.178 5.834 1.555
11.178 6.365 1.489
11.178 6.895 1.422
11.178 7.425 1.355
11.178 7.956 1.283
11.178 8.486 1.210
11.178 9.016 1.137
11.178 9.547 1.062
11.178 10.077 0.982
11.178 10.608 0.894
11.178 11.138 0.792
11.178 11.668 0.660
11.178 12.199 0.466
11.178 12.729 0.147
11.178 13.259 -0.385
11.178 13.790 -1.264
11.178 14.320 -2.778
11.178 14.851 -5.551
11.178 15.381 -11.136
11.178 15.911 -25.552
11.178 16.442 -76.593
11.906 0.000 18.621
11.906 0.530 12.441
11.906 1.061 6.944
11.906 1.591 2.994
11.906 2.122 1.409
11.906 2.652 1.269
11.906 3.182 1.486
11.906 3.713 1.705
11.906 4.243 1.792
11.906 4.773 1.734
11.906 5.304 1.606
11.906 5.834 1.475
11.906 6.365 1.366
11.906 6.895 1.283
11.906 7.425 1.213
11.906 7.956 1.145
11.906 8.486 1.078
11.906 9.016 1.009
11.906 9.547 0.933
11.906 10.077 0.844
11.906 10.608 0.737
11.906 11.138 0.594
11.906 11.668 0.379
11.906 12.199 0.011
11.906 12.729 -0.628
11.906 13.259 -1.594
11.906 13.790 -2.931
11.906 14.320 -4.987
11.906 14.851 -8.594
11.906 15.381 -15.750
11.906 15.911 -34.111
11.906 16.442 -98.993
12.634 0.000 19.240
12.634 0.530 12.595
12.634 1.061 6.745
12.634 1.591 2.657
12.634 2.122 1.152
12.634 2.652 1.118
12.634 3.182 1.394
12.634 3.713 1.631
12.634 4.243 1.707
12.634 4.773 1.619
12.634 5.304 1.463
12.634 5.834 1.318
12.634 6.365 1.207
12.634 6.895 1.130
12.634 7.425 1.068
12.634 7.956 1.007
12.634 8.486 0.942
12.634 9.016 0.869
12.634 9.547 0.777
12.634 10.077 0.655
12.634 10.608 0.487
12.634 11.138 0.232
12.634 11.668 -0.205
12.634 12.199 -1.026
12.634 12.729 -2.460
12.634 13.259 -4.399
12.634 13.790 -6.546
12.634 14.320 -9.238
12.634 14.851 -13.536
12.634 15.381 -21.760
12.634 15.911 -42.512
12.634 16.442 -115.449
13.361 0.000 19.834
13.361 0.530 12.917
13.361 1.061 6.821
13.361 1.591 2.549
13.361 2.122 0.955
13.361 2.652 0.893
13.361 3.182 1.160
13.361 3.713 1.395
13.361 4.243 1.472
13.361 4.773 1.392
13.361 5.304 1.253
13.361 5.834 1.128
13.361 6.365 1.035
13.361 6.895 0.971
13.361 7.425 0.918
13.361 7.956 0.858
13.361 8.486 0.780
13.361 9.016 0.678
13.361 9.547 0.534
13.361 10.077 0.325
13.361 10.608 0.010
13.361 11.138 -0.503
13.361 11.668 -1.440
13.361 12.199 -3.269
13.361 12.729 -6.461
13.361 13.259 -10.494
13.361 13.790 -14.256
13.361 14.320 -17.989
13.361 14.851 -23.104
13.361 15.381 -32.228
13.361 15.911 -54.473
13.361 16.442 -131.733
14.089 0.000 20.204
14.089 0.530 13.202
14.089 1.061 6.993
14.089 1.591 2.561
14.089 2.122 0.810
14.089 2.652 0.651
14.089 3.182 0.869
14.089 3.713 1.086
14.089 4.243 1.169
14.089 4.773 1.115
14.089 5.304 1.015
14.089 5.834 0.927
14.089 6.365 0.856
14.089 6.895 0.802
14.089 7.425 0.746
14.089 7.956 0.660
14.089 8.486 0.528
14.089 9.016 0.336
14.089 9.547 0.053
14.089 10.077 -0.371
14.089 10.608 -1.029
14.089 11.138 -2.135
14.089 11.668 -4.211
14.089 12.199 -8.325
14.089 12.729 -15.480
14.089 13.259 -24.202
14.089 13.790 -31.489
14.089 14.320 -37.324
14.089 14.851 -43.808
14.089 15.381 -53.990
14.089 15.911 -77.080
14.089 16.442 -155.152
14.817 0.000 19.729
14.817 0.530 13.020
14.817 1.061 7.013
14.817 1.591 2.616
14.817 2.122 0.748
14.817 2.652 0.465
14.817 3.182 0.602
14.817 3.713 0.782
14.817 4.243 0.866
14.817 4.773 0.839
14.817 5.304 0.781
14.817 5.834 0.728
14.817 6.365 0.663
14.817 6.895 0.582
14.817 7.425 0.469
14.817 7.956 0.274
14.817 8.486 -0.048
14.817 9.016 -0.527
14.817 9.547 -1.222
14.817 10.077 -2.261
14.817 10.608 -3.882
14.817 11.138 -6.629
14.817 11.668 -11.834
14.817 12.199 -22.209
14.817 12.729 -40.203
14.817 13.259 -61.705
14.817 13.790 -78.518
14.817 14.320 -89.866
14.817 14.851 -99.644
14.817 15.381 -111.806
14.817 15.911 -134.866
14.817 16.442 -206.900
15.545 0.000 16.072
15.545 0.530 10.790
15.545 1.061 6.018
15.545 1.591 2.433
15.545 2.122 0.818
15.545 2.652 0.491
15.545 3.182 0.520
15.545 3.713 0.616
15.545 4.243 0.661
15.545 4.773 0.613
15.545 5.304 0.543
15.545 5.834 0.463
15.545 6.365 0.298
15.545 6.895 0.037
15.545 7.425 -0.342
15.545 7.956 -0.973
15.545 8.486 -1.988
15.545 9.016 -3.459
15.545 9.547 -5.550
15.545 10.077 -8.631
15.545 10.608 -13.410
15.545 11.138 -21.501
15.545 11.668 -36.857
15.545 12.199 -67.506
15.545 12.729 -120.565
15.545 13.259 -183.359
15.545 13.790 -230.854
15.545 14.320 -259.795
15.545 14.851 -279.799
15.545 15.381 -297.562
15.545 15.911 -318.509
15.545 16.442 -364.041
16.272 0.000 6.899
16.272 0.530 4.760
16.272 1.061 2.823
16.272 1.591 1.347
16.272 2.122 0.691
16.272 2.652 0.534
16.272 3.182 0.447
16.272 3.713 0.384
16.272 4.243 0.301
16.272 4.773 0.103
16.272 5.304 -0.135
16.272 5.834 -0.411
16.272 6.365 -0.917
16.272 6.895 -1.683
16.272 7.425 -2.745
16.272 7.956 -4.418
16.272 8.486 -7.026
16.272 9.016 -10.726
16.272 9.547 -15.886
16.272 10.077 -23.393
16.272 10.608 -34.952
16.272 11.138 -54.452
16.272 11.668 -91.403
16.272 12.199 -165.105
16.272 12.729 -292.548
16.272 13.259 -442.848
16.272 13.790 -555.254
16.272 14.320 -621.275
16.272 14.851 -662.690
16.272 15.381 -691.942
16.272 15.911 -707.692
16.272 16.442 -694.978
