input1 input2 output
-1.193 10.077 0.977
-1.193 10.608 0.993
-1.193 11.138 1.013
-1.193 11.668 1.035
-1.193 12.199 1.058
-1.193 12.729 1.084
-1.193 13.259 1.115
-1.193 13.790 1.151
-1.193 14.320 1.192
-1.193 14.851 1.239
-1.193 15.381 1.290
-1.193 15.911 1.351
-1.193 16.442 1.435
-0.465 0.000 6.026
-0.465 0.530 8.463
-0.465 1.061 9.838
-0.465 1.591 9.070
-0.465 2.122 5.911
-0.465 2.652 2.684
-0.465 3.182 1.405
-0.465 3.713 1.175
-0.465 4.243 1.058
-0.465 4.773 0.978
-0.465 5.304 0.927
-0.465 5.834 0.896
-0.465 6.365 0.876
-0.465 6.895 0.863
-0.465 7.425 0.860
-0.465 7.956 0.863
-0.465 8.486 0.869
-0.465 9.016 0.877
-0.465 9.547 0.887
-0.465 10.077 0.901
-0.465 10.608 0.921
-0.465 11.138 0.945
-0.465 11.668 0.970
-0.465 12.199 0.996
-0.465 12.729 1.025
-0.465 13.259 1.057
-0.465 13.790 1.093
-0.465 14.320 1.136
-0.465 14.851 1.185
-0.465 15.381 1.239
-0.465 15.911 1.300
-0.465 16.442 1.382
0.262 0.000 11.721
0.262 0.530 12.048
0.262 1.061 11.448
0.262 1.591 9.166
0.262 2.122 5.413
0.262 2.652 2.334
0.262 3.182 1.203
0.262 3.713 0.984
0.262 4.243 0.885
0.262 4.773 0.824
0.262 5.304 0.788
0.262 5.834 0.767
0.262 6.365 0.756
0.262 6.895 0.753
0.262 7.425 0.759
0.262 7.956 0.770
0.262 8.486 0.783
0.262 9.016 0.796
0.262 9.547 0.809
0.262 10.077 0.827
0.262 10.608 0.853
0.262 11.138 0.880
0.262 11.668 0.910
0.262 12.199 0.939
0.262 12.729 0.969
0.262 13.259 1.002
0.262 13.790 1.040
0.262 14.320 1.085
0.262 14.851 1.136
0.262 15.381 1.191
0.262 15.911 1.253
0.262 16.442 1.332
0.990 0.000 9.434
0.990 0.530 8.715
0.990 1.061 7.518
0.990 1.591 5.549
0.990 2.122 3.144
0.990 2.652 1.466
0.990 3.182 0.896
0.990 3.713 0.762
0.990 4.243 0.702
0.990 4.773 0.671
0.990 5.304 0.654
0.990 5.834 0.646
0.990 6.365 0.644
0.990 6.895 0.651
0.990 7.425 0.666
0.990 7.956 0.684
0.990 8.486 0.702
0.990 9.016 0.719
0.990 9.547 0.737
0.990 10.077 0.758
0.990 10.608 0.788
0.990 11.138 0.820
0.990 11.668 0.852
0.990 12.199 0.884
0.990 12.729 0.915
0.990 13.259 0.949
0.990 13.790 0.990
0.990 14.320 1.036
0.990 14.851 1.091
0.990 15.381 1.150
0.990 15.911 1.214
0.990 16.442 1.296
1.718 0.000 4.801
1.718 0.530 4.142
1.718 1.061 3.323
1.718 1.591 2.300
1.718 2.122 1.302
1.718 2.652 0.743
1.718 3.182 0.588
1.718 3.713 0.539
1.718 4.243 0.520
1.718 4.773 0.516
1.718 5.304 0.518
1.718 5.834 0.525
1.718 6.365 0.535
1.718 6.895 0.551
1.718 7.425 0.573
1.718 7.956 0.596
1.718 8.486 0.619
1.718 9.016 0.642
1.718 9.547 0.665
1.718 10.077 0.693
1.718 10.608 0.725
1.718 11.138 0.759
1.718 11.668 0.794
1.718 12.199 0.828
1.718 12.729 0.863
1.718 13.259 0.901
1.718 13.790 0.945
1.718 14.320 0.994
1.718 14.851 1.050
1.718 15.381 1.110
1.718 15.911 1.175
1.718 16.442 1.261
2.446 0.000 1.422
2.446 0.530 1.176
2.446 1.061 0.902
2.446 1.591 0.614
2.446 2.122 0.399
2.446 2.652 0.337
2.446 3.182 0.343
2.446 3.713 0.338
2.446 4.243 0.346
2.446 4.773 0.362
2.446 5.304 0.382
2.446 5.834 0.404
2.446 6.365 0.428
2.446 6.895 0.452
2.446 7.425 0.480
2.446 7.956 0.508
2.446 8.486 0.537
2.446 9.016 0.566
2.446 9.547 0.596
2.446 10.077 0.629
2.446 10.608 0.665
2.446 11.138 0.702
2.446 11.668 0.739
2.446 12.199 0.776
2.446 12.729 0.814
2.446 13.259 0.856
2.446 13.790 0.902
2.446 14.320 0.955
2.446 14.851 1.013
2.446 15.381 1.074
2.446 15.911 1.142
2.446 16.442 1.242
3.173 0.000 -0.298
3.173 0.530 -0.185
3.173 1.061 -0.083
3.173 1.591 -0.003
3.173 2.122 0.049
3.173 2.652 0.094
3.173 3.182 0.138
3.173 3.713 0.168
3.173 4.243 0.198
3.173 4.773 0.231
3.173 5.304 0.265
3.173 5.834 0.300
3.173 6.365 0.334
3.173 6.895 0.367
3.173 7.425 0.399
3.173 7.956 0.431
3.173 8.486 0.464
3.173 9.016 0.499
3.173 9.547 0.535
3.173 10.077 0.573
3.173 10.608 0.611
3.173 11.138 0.650
3.173 11.668 0.688
3.173 12.199 0.727
3.173 12.729 0.768
3.173 13.259 0.813
3.173 13.790 0.863
3.173 14.320 0.918
3.173 14.851 0.977
3.173 15.381 1.040
3.173 15.911 1.114
3.173 16.442 1.240
3.901 0.000 -0.948
3.901 0.530 -0.587
3.901 1.061 -0.276
3.901 1.591 -0.083
