distance control1 control2 control
12.500 0.471 0.628 0.471
12.500 0.628 -0.785 0.628
12.500 0.628 -0.628 0.628
12.500 0.628 -0.471 0.628
12.500 0.628 -0.314 0.628
12.500 0.628 -0.157 0.628
12.500 0.628 0.000 0.628
12.500 0.628 0.157 0.628
12.500 0.628 0.314 0.628
12.500 0.628 0.471 0.628
12.500 0.628 0.628 0.628
15.000 -0.785 -0.785 -0.785
15.000 -0.785 -0.628 -0.785
15.000 -0.785 -0.471 -0.785
15.000 -0.785 -0.314 -0.785
15.000 -0.785 -0.157 -0.785
15.000 -0.785 0.000 -0.785
15.000 -0.785 0.157 -0.785
15.000 -0.785 0.314 -0.785
15.000 -0.785 0.471 -0.785
15.000 -0.785 0.628 -0.785
15.000 -0.628 -0.785 -0.628
15.000 -0.628 -0.628 -0.628
15.000 -0.628 -0.471 -0.628
15.000 -0.628 -0.314 -0.628
15.000 -0.628 -0.157 -0.628
15.000 -0.628 0.000 -0.628
15.000 -0.628 0.157 -0.628
15.000 -0.628 0.314 -0.628
15.000 -0.628 0.471 -0.628
15.000 -0.628 0.628 -0.628
15.000 -0.471 -0.785 -0.471
15.000 -0.471 -0.628 -0.471
15.000 -0.471 -0.471 -0.471
15.000 -0.471 -0.314 -0.471
15.000 -0.471 -0.157 -0.471
15.000 -0.471 0.000 -0.471
15.000 -0.471 0.157 -0.471
15.000 -0.471 0.314 -0.471
15.000 -0.471 0.471 -0.471
15.000 -0.471 0.628 -0.471
15.000 -0.314 -0.785 -0.314
15.000 -0.314 -0.628 -0.314
15.000 -0.314 -0.471 -0.314
15.000 -0.314 -0.314 -0.314
15.000 -0.314 -0.157 -0.314
15.000 -0.314 0.000 -0.314
15.000 -0.314 0.157 -0.314
15.000 -0.314 0.314 -0.314
15.000 -0.314 0.471 -0.314
15.000 -0.314 0.628 -0.314
15.000 -0.157 -0.785 -0.157
15.000 -0.157 -0.628 -0.157
15.000 -0.157 -0.471 -0.157
15.000 -0.157 -0.314 -0.157
15.000 -0.157 -0.157 -0.157
15.000 -0.157 0.000 -0.157
15.000 -0.157 0.157 -0.157
15.000 -0.157 0.314 -0.157
15.000 -0.157 0.471 -0.157
15.000 -0.157 0.628 -0.157
15.000 0.000 -0.785 0.000
15.000 0.000 -0.628 0.000
15.000 0.000 -0.471 0.000
15.000 0.000 -0.314 0.000
15.000 0.000 -0.157 0.000
15.000 0.000 0.000 0.000
15.000 0.000 0.157 0.000
15.000 0.000 0.314 0.000
15.000 0.000 0.471 0.000
15.000 0.000 0.628 0.000
15.000 0.157 -0.785 0.157
15.000 0.157 -0.628 0.157
15.000 0.157 -0.471 0.157
15.000 0.157 -0.314 0.157
15.000 0.157 -0.157 0.157
15.000 0.157 0.000 0.157
15.000 0.157 0.157 0.157
15.000 0.157 0.314 0.157
15.000 0.157 0.471 0.157
15.000 0.157 0.628 0.157
15.000 0.314 -0.785 0.314
15.000 0.314 -0.628 0.314
15.000 0.314 -0.471 0.314
15.000 0.314 -0.314 0.314
15.000 0.314 -0.157 0.314
15.000 0.314 0.000 0.314
15.000 0.314 0.157 0.314
15.000 0.314 0.314 0.314
15.000 0.314 0.471 0.314
15.000 0.314 0.628 0.314
15.000 0.471 -0.785 0.471
15.000 0.471 -0.628 0.471
15.000 0.471 -0.471 0.471
15.000 0.471 -0.314 0.471
15.000 0.471 -0.157 0.471
15.000 0.471 0.000 0.471
15.000 0.471 0.157 0.471
15.000 0.471 0.314 0.471
15.000 0.471 0.471 0.471
15.000 0.471 0.628 0.471
15.000 0.628 -0.785 0.628
15.000 0.628 -0.628 0.628
15.000 0.628 -0.471 0.628
15.000 0.628 -0.314 0.628
15.000 0.628 -0.157 0.628
15.000 0.628 0.000 0.628
15.000 0.628 0.157 0.628
15.000 0.628 0.314 0.628
15.000 0.628 0.471 0.628
15.000 0.628 0.628 0.628
