distance control1 control2 control
2.500 0.471 -0.628 0.471
2.500 0.471 -0.471 0.471
2.500 0.471 -0.314 0.471
2.500 0.471 -0.157 0.471
2.500 0.471 0.000 0.471
2.500 0.471 0.157 0.471
2.500 0.471 0.314 0.471
2.500 0.471 0.471 0.471
2.500 0.471 0.628 0.471
2.500 0.628 -0.785 0.628
2.500 0.628 -0.628 0.628
2.500 0.628 -0.471 0.628
2.500 0.628 -0.314 0.628
2.500 0.628 -0.157 0.628
2.500 0.628 0.000 0.628
2.500 0.628 0.157 0.628
2.500 0.628 0.314 0.628
2.500 0.628 0.471 0.628
2.500 0.628 0.628 0.628
5.000 -0.785 -0.785 -0.785
5.000 -0.785 -0.628 -0.785
5.000 -0.785 -0.471 -0.785
5.000 -0.785 -0.314 -0.785
5.000 -0.785 -0.157 -0.785
5.000 -0.785 0.000 -0.785
5.000 -0.785 0.157 -0.785
5.000 -0.785 0.314 -0.785
5.000 -0.785 0.471 -0.785
5.000 -0.785 0.628 -0.785
5.000 -0.628 -0.785 -0.628
5.000 -0.628 -0.628 -0.628
5.000 -0.628 -0.471 -0.628
5.000 -0.628 -0.314 -0.628
5.000 -0.628 -0.157 -0.628
5.000 -0.628 0.000 -0.628
5.000 -0.628 0.157 -0.628
5.000 -0.628 0.314 -0.628
5.000 -0.628 0.471 -0.628
5.000 -0.628 0.628 -0.628
5.000 -0.471 -0.785 -0.471
5.000 -0.471 -0.628 -0.471
5.000 -0.471 -0.471 -0.471
5.000 -0.471 -0.314 -0.471
5.000 -0.471 -0.157 -0.471
5.000 -0.471 0.000 -0.471
5.000 -0.471 0.157 -0.471
5.000 -0.471 0.314 -0.471
5.000 -0.471 0.471 -0.471
5.000 -0.471 0.628 -0.471
5.000 -0.314 -0.785 -0.314
5.000 -0.314 -0.628 -0.314
5.000 -0.314 -0.471 -0.314
5.000 -0.314 -0.314 -0.314
5.000 -0.314 -0.157 -0.314
5.000 -0.314 0.000 -0.314
5.000 -0.314 0.157 -0.314
5.000 -0.314 0.314 -0.314
5.000 -0.314 0.471 -0.314
5.000 -0.314 0.628 -0.314
5.000 -0.157 -0.785 -0.157
5.000 -0.157 -0.628 -0.157
5.000 -0.157 -0.471 -0.157
5.000 -0.157 -0.314 -0.157
5.000 -0.157 -0.157 -0.157
5.000 -0.157 0.000 -0.157
5.000 -0.157 0.157 -0.157
5.000 -0.157 0.314 -0.157
5.000 -0.157 0.471 -0.157
5.000 -0.157 0.628 -0.157
5.000 0.000 -0.785 0.000
5.000 0.000 -0.628 0.000
5.000 0.000 -0.471 0.000
5.000 0.000 -0.314 0.000
5.000 0.000 -0.157 0.000
5.000 0.000 0.000 0.000
5.000 0.000 0.157 0.000
5.000 0.000 0.314 0.000
5.000 0.000 0.471 0.000
5.000 0.000 0.628 0.000
5.000 0.157 -0.785 0.157
5.000 0.157 -0.628 0.157
5.000 0.157 -0.471 0.157
5.000 0.157 -0.314 0.157
5.000 0.157 -0.157 0.157
5.000 0.157 0.000 0.157
5.000 0.157 0.157 0.157
5.000 0.157 0.314 0.157
5.000 0.157 0.471 0.157
5.000 0.157 0.628 0.157
5.000 0.314 -0.785 0.314
5.000 0.314 -0.628 0.314
5.000 0.314 -0.471 0.314
5.000 0.314 -0.314 0.314
5.000 0.314 -0.157 0.314
5.000 0.314 0.000 0.314
5.000 0.314 0.157 0.314
5.000 0.314 0.314 0.314
5.000 0.314 0.471 0.314
5.000 0.314 0.628 0.314
5.000 0.471 -0.785 0.471
5.000 0.471 -0.628 0.471
5.000 0.471 -0.471 0.471
5.000 0.471 -0.314 0.471
5.000 0.471 -0.157 0.471
5.000 0.471 0.000 0.471
5.000 0.471 0.157 0.471
5.000 0.471 0.314 0.471
5.000 0.471 0.471 0.471
5.000 0.471 0.628 0.471
5.000 0.628 -0.785 0.628
5.000 0.628 -0.628 0.628
5.000 0.628 -0.471 0.628
5.000 0.628 -0.314 0.628
5.000 0.628 -0.157 0.628
5.000 0.628 0.000 0.628
5.000 0.628 0.157 0.628
5.000 0.628 0.314 0.628
5.000 0.628 0.471 0.628
5.000 0.628 0.628 0.628
7.500 -0.785 -0.785 -0.785
7.500 -0.785 -0.628 -0.785
7.500 -0.785 -0.471 -0.785
7.500 -0.785 -0.314 -0.785
7.500 -0.785 -0.157 -0.785
7.500 -0.785 0.000 -0.785
7.500 -0.785 0.157 -0.785
7.500 -0.785 0.314 -0.785
7.500 -0.785 0.471 -0.785
7.500 -0.785 0.628 -0.785
7.500 -0.628 -0.785 -0.628
7.500 -0.628 -0.628 -0.628
7.500 -0.628 -0.471 -0.628
7.500 -0.628 -0.314 -0.628
7.500 -0.628 -0.157 -0.628
7.500 -0.628 0.000 -0.628
7.500 -0.628 0.157 -0.628
7.500 -0.628 0.314 -0.628
7.500 -0.628 0.471 -0.628
7.500 -0.628 0.628 -0.628
7.500 -0.471 -0.785 -0.471
7.500 -0.471 -0.628 -0.471
7.500 -0.471 -0.471 -0.471
7.500 -0.471 -0.314 -0.471
7.500 -0.471 -0.157 -0.471
7.500 -0.471 0.000 -0.471
7.500 -0.471 0.157 -0.471
7.500 -0.471 0.314 -0.471
7.500 -0.471 0.471 -0.471
7.500 -0.471 0.628 -0.471
7.500 -0.314 -0.785 -0.314
7.500 -0.314 -0.628 -0.314
7.500 -0.314 -0.471 -0.314
7.500 -0.314 -0.314 -0.314
7.500 -0.314 -0.157 -0.314
7.500 -0.314 0.000 -0.314
7.500 -0.314 0.157 -0.314
7.500 -0.314 0.314 -0.314
7.500 -0.314 0.471 -0.314
7.500 -0.314 0.628 -0.314
7.500 -0.157 -0.785 -0.157
7.500 -0.157 -0.628 -0.157
7.500 -0.157 -0.471 -0.157
7.500 -0.157 -0.314 -0.157
7.500 -0.157 -0.157 -0.157
7.500 -0.157 0.000 -0.157
7.500 -0.157 0.157 -0.157
7.500 -0.157 0.314 -0.157
7.500 -0.157 0.471 -0.157
7.500 -0.157 0.628 -0.157
7.500 0.000 -0.785 0.000
7.500 0.000 -0.628 0.000
7.500 0.000 -0.471 0.000
7.500 0.000 -0.314 0.000
7.500 0.000 -0.157 0.000
7.500 0.000 0.000 0.000
7.500 0.000 0.157 0.000
7.500 0.000 0.314 0.000
7.500 0.000 0.471 0.000
7.500 0.000 0.628 0.000
7.500 0.157 -0.785 0.157
7.500 0.157 -0.628 0.157
7.500 0.157 -0.471 0.157
7.500 0.157 -0.314 0.157
7.500 0.157 -0.157 0.157
7.500 0.157 0.000 0.157
7.500 0.157 0.157 0.157
7.500 0.157 0.314 0.157
7.500 0.157 0.471 0.157
7.500 0.157 0.628 0.157
7.500 0.314 -0.785 0.314
7.500 0.314 -0.628 0.314
7.500 0.314 -0.471 0.314
7.500 0.314 -0.314 0.314
7.500 0.314 -0.157 0.314
7.500 0.314 0.000 0.314
7.500 0.314 0.157 0.314
7.500 0.314 0.314 0.314
7.500 0.314 0.471 0.314
7.500 0.314 0.628 0.314
7.500 0.471 -0.785 0.471
7.500 0.471 -0.628 0.471
7.500 0.471 -0.471 0.471
7.500 0.471 -0.314 0.471
7.500 0.471 -0.157 0.471
7.500 0.471 0.000 0.471
7.500 0.471 0.157 0.471
7.500 0.471 0.314 0.471
7.500 0.471 0.471 0.471
7.500 0.471 0.628 0.471
7.500 0.628 -0.785 0.628
7.500 0.628 -0.628 0.628
7.500 0.628 -0.471 0.628
7.500 0.628 -0.314 0.628
7.500 0.628 -0.157 0.628
7.500 0.628 0.000 0.628
7.500 0.628 0.157 0.628
7.500 0.628 0.314 0.628
7.500 0.628 0.471 0.628
7.500 0.628 0.628 0.628
10.000 -0.785 -0.785 -0.785
10.000 -0.785 -0.628 -0.785
10.000 -0.785 -0.471 -0.785
10.000 -0.785 -0.314 -0.785
10.000 -0.785 -0.157 -0.785
10.000 -0.785 0.000 -0.785
10.000 -0.785 0.157 -0.785
10.000 -0.785 0.314 -0.785
10.000 -0.785 0.471 -0.785
10.000 -0.785 0.628 -0.785
10.000 -0.628 -0.785 -0.628
10.000 -0.628 -0.628 -0.628
10.000 -0.628 -0.471 -0.628
10.000 -0.628 -0.314 -0.628
10.000 -0.628 -0.157 -0.628
10.000 -0.628 0.000 -0.628
10.000 -0.628 0.157 -0.628
10.000 -0.628 0.314 -0.628
10.000 -0.628 0.471 -0.628
10.000 -0.628 0.628 -0.628
10.000 -0.471 -0.785 -0.471
10.000 -0.471 -0.628 -0.471
10.000 -0.471 -0.471 -0.471
10.000 -0.471 -0.314 -0.471
10.000 -0.471 -0.157 -0.471
10.000 -0.471 0.000 -0.471
10.000 -0.471 0.157 -0.471
10.000 -0.471 0.314 -0.471
10.000 -0.471 0.471 -0.471
10.000 -0.471 0.628 -0.471
10.000 -0.314 -0.785 -0.314
10.000 -0.314 -0.628 -0.314
10.000 -0.314 -0.471 -0.314
10.000 -0.314 -0.314 -0.314
10.000 -0.314 -0.157 -0.314
10.000 -0.314 0.000 -0.314
10.000 -0.314 0.157 -0.314
10.000 -0.314 0.314 -0.314
10.000 -0.314 0.471 -0.314
10.000 -0.314 0.628 -0.314
10.000 -0.157 -0.785 -0.157
10.000 -0.157 -0.628 -0.157
10.000 -0.157 -0.471 -0.157
10.000 -0.157 -0.314 -0.157
10.000 -0.157 -0.157 -0.157
10.000 -0.157 0.000 -0.157
10.000 -0.157 0.157 -0.157
10.000 -0.157 0.314 -0.157
10.000 -0.157 0.471 -0.157
10.000 -0.157 0.628 -0.157
10.000 0.000 -0.785 0.000
10.000 0.000 -0.628 0.000
10.000 0.000 -0.471 0.000
10.000 0.000 -0.314 0.000
10.000 0.000 -0.157 0.000
10.000 0.000 0.000 0.000
10.000 0.000 0.157 0.000
10.000 0.000 0.314 0.000
10.000 0.000 0.471 0.000
10.000 0.000 0.628 0.000
10.000 0.157 -0.785 0.157
10.000 0.157 -0.628 0.157
10.000 0.157 -0.471 0.157
10.000 0.157 -0.314 0.157
10.000 0.157 -0.157 0.157
10.000 0.157 0.000 0.157
10.000 0.157 0.157 0.157
10.000 0.157 0.314 0.157
10.000 0.157 0.471 0.157
10.000 0.157 0.628 0.157
10.000 0.314 -0.785 0.314
10.000 0.314 -0.628 0.314
10.000 0.314 -0.471 0.314
10.000 0.314 -0.314 0.314
10.000 0.314 -0.157 0.314
10.000 0.314 0.000 0.314
10.000 0.314 0.157 0.314
10.000 0.314 0.314 0.314
10.000 0.314 0.471 0.314
10.000 0.314 0.628 0.314
10.000 0.471 -0.785 0.471
10.000 0.471 -0.628 0.471
10.000 0.471 -0.471 0.471
10.000 0.471 -0.314 0.471
10.000 0.471 -0.157 0.471
10.000 0.471 0.000 0.471
10.000 0.471 0.157 0.471
10.000 0.471 0.314 0.471
10.000 0.471 0.471 0.471
10.000 0.471 0.628 0.471
10.000 0.628 -0.785 0.628
10.000 0.628 -0.628 0.628
10.000 0.628 -0.471 0.628
10.000 0.628 -0.314 0.628
10.000 0.628 -0.157 0.628
10.000 0.628 0.000 0.628
10.000 0.628 0.157 0.628
10.000 0.628 0.314 0.628
10.000 0.628 0.471 0.628
10.000 0.628 0.628 0.628
12.500 -0.785 -0.785 -0.785
12.500 -0.785 -0.628 -0.785
12.500 -0.785 -0.471 -0.785
12.500 -0.785 -0.314 -0.785
12.500 -0.785 -0.157 -0.785
12.500 -0.785 0.000 -0.785
12.500 -0.785 0.157 -0.785
12.500 -0.785 0.314 -0.785
12.500 -0.785 0.471 -0.785
12.500 -0.785 0.628 -0.785
12.500 -0.628 -0.785 -0.628
12.500 -0.628 -0.628 -0.628
12.500 -0.628 -0.471 -0.628
12.500 -0.628 -0.314 -0.628
12.500 -0.628 -0.157 -0.628
12.500 -0.628 0.000 -0.628
12.500 -0.628 0.157 -0.628
12.500 -0.628 0.314 -0.628
12.500 -0.628 0.471 -0.628
12.500 -0.628 0.628 -0.628
12.500 -0.471 -0.785 -0.471
12.500 -0.471 -0.628 -0.471
12.500 -0.471 -0.471 -0.471
12.500 -0.471 -0.314 -0.471
12.500 -0.471 -0.157 -0.471
12.500 -0.471 0.000 -0.471
12.500 -0.471 0.157 -0.471
12.500 -0.471 0.314 -0.471
12.500 -0.471 0.471 -0.471
12.500 -0.471 0.628 -0.471
12.500 -0.314 -0.785 -0.314
12.500 -0.314 -0.628 -0.314
12.500 -0.314 -0.471 -0.314
12.500 -0.314 -0.314 -0.314
12.500 -0.314 -0.157 -0.314
12.500 -0.314 0.000 -0.314
12.500 -0.314 0.157 -0.314
12.500 -0.314 0.314 -0.314
12.500 -0.314 0.471 -0.314
12.500 -0.314 0.628 -0.314
12.500 -0.157 -0.785 -0.157
12.500 -0.157 -0.628 -0.157
12.500 -0.157 -0.471 -0.157
12.500 -0.157 -0.314 -0.157
12.500 -0.157 -0.157 -0.157
12.500 -0.157 0.000 -0.157
12.500 -0.157 0.157 -0.157
12.500 -0.157 0.314 -0.157
12.500 -0.157 0.471 -0.157
12.500 -0.157 0.628 -0.157
12.500 0.000 -0.785 0.000
12.500 0.000 -0.628 0.000
12.500 0.000 -0.471 0.000
12.500 0.000 -0.314 0.000
12.500 0.000 -0.157 0.000
12.500 0.000 0.000 0.000
12.500 0.000 0.157 0.000
12.500 0.000 0.314 0.000
12.500 0.000 0.471 0.000
12.500 0.000 0.628 0.000
12.500 0.157 -0.785 0.157
12.500 0.157 -0.628 0.157
12.500 0.157 -0.471 0.157
12.500 0.157 -0.314 0.157
12.500 0.157 -0.157 0.157
12.500 0.157 0.000 0.157
12.500 0.157 0.157 0.157
12.500 0.157 0.314 0.157
12.500 0.157 0.471 0.157
12.500 0.157 0.628 0.157
12.500 0.314 -0.785 0.314
12.500 0.314 -0.628 0.314
12.500 0.314 -0.471 0.314
12.500 0.314 -0.314 0.314
12.500 0.314 -0.157 0.314
12.500 0.314 0.000 0.314
12.500 0.314 0.157 0.314
12.500 0.314 0.314 0.314
12.500 0.314 0.471 0.314
12.500 0.314 0.628 0.314
12.500 0.471 -0.785 0.471
12.500 0.471 -0.628 0.471
12.500 0.471 -0.471 0.471
12.500 0.471 -0.314 0.471
12.500 0.471 -0.157 0.471
12.500 0.471 0.000 0.471
12.500 0.471 0.157 0.471
12.500 0.471 0.314 0.471
12.500 0.471 0.471 0.471
