in_n1 in_n2 out1
8.500 1.938 -0.013
8.500 2.875 0.077
8.500 3.812 0.161
8.500 4.750 0.236
8.500 5.688 0.300
8.500 6.625 0.349
8.500 7.562 0.384
8.500 8.500 0.402
8.500 9.438 0.404
8.500 10.375 0.391
8.500 11.312 0.361
8.500 12.250 0.317
8.500 13.188 0.258
8.500 14.125 0.185
8.500 15.062 0.096
8.500 16.000 -0.013
8.500 16.938 -0.017
8.500 17.875 -0.012
8.500 18.812 -0.011
8.500 19.750 -0.011
8.500 20.688 -0.011
8.500 21.625 -0.011
8.500 22.562 -0.010
8.500 23.500 -0.008
8.500 24.438 -0.006
8.500 25.375 -0.003
8.500 26.312 0.001
8.500 27.250 0.004
8.500 28.188 0.007
8.500 29.125 0.009
8.500 30.062 0.008
9.438 1.000 -0.080
9.438 1.938 0.013
9.438 2.875 0.109
9.438 3.812 0.199
9.438 4.750 0.279
9.438 5.688 0.347
9.438 6.625 0.400
9.438 7.562 0.436
9.438 8.500 0.454
9.438 9.438 0.456
9.438 10.375 0.439
9.438 11.312 0.406
9.438 12.250 0.356
9.438 13.188 0.290
9.438 14.125 0.209
9.438 15.062 0.110
9.438 16.000 -0.011
9.438 16.938 -0.017
9.438 17.875 -0.013
9.438 18.812 -0.012
9.438 19.750 -0.012
9.438 20.688 -0.013
9.438 21.625 -0.013
9.438 22.562 -0.012
9.438 23.500 -0.010
9.438 24.438 -0.007
9.438 25.375 -0.003
9.438 26.312 0.002
9.438 27.250 0.007
9.438 28.188 0.010
9.438 29.125 0.012
9.438 30.062 0.010
10.375 1.000 -0.059
10.375 1.938 0.039
10.375 2.875 0.141
10.375 3.812 0.237
10.375 4.750 0.323
10.375 5.688 0.395
10.375 6.625 0.451
10.375 7.562 0.489
10.375 8.500 0.508
10.375 9.438 0.509
10.375 10.375 0.490
10.375 11.312 0.453
10.375 12.250 0.397
10.375 13.188 0.325
10.375 14.125 0.235
10.375 15.062 0.126
10.375 16.000 -0.006
10.375 16.938 -0.014
10.375 17.875 -0.011
10.375 18.812 -0.012
10.375 19.750 -0.012
10.375 20.688 -0.013
10.375 21.625 -0.014
10.375 22.562 -0.013
10.375 23.500 -0.010
10.375 24.438 -0.007
10.375 25.375 -0.002
10.375 26.312 0.003
10.375 27.250 0.009
10.375 28.188 0.013
10.375 29.125 0.014
10.375 30.062 0.012
11.312 1.000 -0.038
11.312 1.938 0.066
11.312 2.875 0.174
11.312 3.812 0.276
11.312 4.750 0.367
11.312 5.688 0.444
11.312 6.625 0.503
11.312 7.562 0.543
11.312 8.500 0.563
11.312 9.438 0.563
11.312 10.375 0.542
11.312 11.312 0.501
11.312 12.250 0.440
11.312 13.188 0.361
11.312 14.125 0.263
11.312 15.062 0.145
11.312 16.000 0.001
11.312 16.938 -0.009
11.312 17.875 -0.008
11.312 18.812 -0.009
11.312 19.750 -0.011
11.312 20.688 -0.013
11.312 21.625 -0.013
11.312 22.562 -0.012
11.312 23.500 -0.010
11.312 24.438 -0.006
11.312 25.375 -0.001
11.312 26.312 0.004
11.312 27.250 0.010
11.312 28.188 0.014
11.312 29.125 0.016
11.312 30.062 0.013
12.250 1.000 -0.017
12.250 1.938 0.092
12.250 2.875 0.207
12.250 3.812 0.315
12.250 4.750 0.412
12.250 5.688 0.493
12.250 6.625 0.555
12.250 7.562 0.598
12.250 8.500 0.618
12.250 9.438 0.617
12.250 10.375 0.594
12.250 11.312 0.550
12.250 12.250 0.484
12.250 13.188 0.399
12.250 14.125 0.293
12.250 15.062 0.166
12.250 16.000 0.011
12.250 16.938 -0.002
12.250 17.875 -0.002
12.250 18.812 -0.005
12.250 19.750 -0.008
12.250 20.688 -0.011
12.250 21.625 -0.012
12.250 22.562 -0.012
12.250 23.500 -0.010
12.250 24.438 -0.006
12.250 25.375 -0.001
12.250 26.312 0.005
12.250 27.250 0.011
12.250 28.188 0.015
12.250 29.125 0.016
12.250 30.062 0.012
13.188 1.000 0.004
13.188 1.938 0.118
13.188 2.875 0.239
13.188 3.812 0.353
13.188 4.750 0.456
13.188 5.688 0.541
13.188 6.625 0.608
13.188 7.562 0.652
13.188 8.500 0.674
13.188 9.438 0.672
13.188 10.375 0.647
13.188 11.312 0.600
13.188 12.250 0.529
13.188 13.188 0.438
13.188 14.125 0.324
13.188 15.062 0.188
13.188 16.000 0.021
13.188 16.938 0.006
13.188 17.875 0.004
13.188 18.812 -0.000
13.188 19.750 -0.005
13.188 20.688 -0.009
13.188 21.625 -0.011
13.188 22.562 -0.012
13.188 23.500 -0.010
13.188 24.438 -0.007
13.188 25.375 -0.001
13.188 26.312 0.004
13.188 27.250 0.010
13.188 28.188 0.014
13.188 29.125 0.015
13.188 30.062 0.010
14.125 1.000 0.023
14.125 1.938 0.144
14.125 2.875 0.271
14.125 3.812 0.392
14.125 4.750 0.500
14.125 5.688 0.590
14.125 6.625 0.660
14.125 7.562 0.707
14.125 8.500 0.730
14.125 9.438 0.728
14.125 10.375 0.701
14.125 11.312 0.650
14.125 12.250 0.575
14.125 13.188 0.477
14.125 14.125 0.355
14.125 15.062 0.210
14.125 16.000 0.032
14.125 16.938 0.014
14.125 17.875 0.010
14.125 18.812 0.004
14.125 19.750 -0.002
14.125 20.688 -0.007
14.125 21.625 -0.011
14.125 22.562 -0.012
14.125 23.500 -0.012
14.125 24.438 -0.008
14.125 25.375 -0.004
14.125 26.312 0.002
14.125 27.250 0.007
14.125 28.188 0.011
14.125 29.125 0.011
14.125 30.062 0.005
15.062 1.000 0.043
15.062 1.938 0.169
15.062 2.875 0.303
15.062 3.812 0.430
15.062 4.750 0.544
15.062 5.688 0.640
15.062 6.625 0.714
15.062 7.562 0.764
15.062 8.500 0.787
15.062 9.438 0.785
15.062 10.375 0.755
15.062 11.312 0.700
15.062 12.250 0.620
15.062 13.188 0.515
15.062 14.125 0.385
15.062 15.062 0.230
15.062 16.000 0.040
15.062 16.938 0.018
15.062 17.875 0.013
15.062 18.812 0.006
15.062 19.750 -0.002
15.062 20.688 -0.009
15.062 21.625 -0.014
