angle velocity force
-3.125 3.750 -1.763
-3.125 4.062 -1.751
-3.125 4.375 -1.740
-3.125 4.688 -1.732
-2.812 -5.000 -3.831
-2.812 -4.688 -3.799
-2.812 -4.375 -3.763
-2.812 -4.062 -3.722
-2.812 -3.750 -3.677
-2.812 -3.438 -3.625
-2.812 -3.125 -3.566
-2.812 -2.812 -3.498
-2.812 -2.500 -3.419
-2.812 -2.188 -3.328
-2.812 -1.875 -3.225
-2.812 -1.562 -3.107
-2.812 -1.250 -2.978
-2.812 -0.938 -2.838
-2.812 -0.625 -2.694
-2.812 -0.312 -2.550
-2.812 0.000 -2.414
-2.812 0.312 -2.289
-2.812 0.625 -2.182
-2.812 0.938 -2.091
-2.812 1.250 -2.016
-2.812 1.562 -1.956
-2.812 1.875 -1.907
-2.812 2.188 -1.868
-2.812 2.500 -1.837
-2.812 2.812 -1.812
-2.812 3.125 -1.792
-2.812 3.438 -1.775
-2.812 3.750 -1.761
-2.812 4.062 -1.749
-2.812 4.375 -1.738
-2.812 4.688 -1.730
-2.500 -5.000 -3.820
-2.500 -4.688 -3.788
-2.500 -4.375 -3.752
-2.500 -4.062 -3.712
-2.500 -3.750 -3.667
-2.500 -3.438 -3.615
-2.500 -3.125 -3.556
-2.500 -2.812 -3.488
-2.500 -2.500 -3.410
-2.500 -2.188 -3.320
-2.500 -1.875 -3.216
-2.500 -1.562 -3.099
-2.500 -1.250 -2.970
-2.500 -0.938 -2.831
-2.500 -0.625 -2.687
-2.500 -0.312 -2.543
-2.500 0.000 -2.407
-2.500 0.312 -2.284
-2.500 0.625 -2.177
-2.500 0.938 -2.086
-2.500 1.250 -2.011
-2.500 1.562 -1.951
-2.500 1.875 -1.902
-2.500 2.188 -1.864
-2.500 2.500 -1.833
-2.500 2.812 -1.808
-2.500 3.125 -1.788
-2.500 3.438 -1.771
-2.500 3.750 -1.757
-2.500 4.062 -1.745
-2.500 4.375 -1.734
-2.500 4.688 -1.725
-2.188 -5.000 -3.798
-2.188 -4.688 -3.766
-2.188 -4.375 -3.731
-2.188 -4.062 -3.691
-2.188 -3.750 -3.647
-2.188 -3.438 -3.595
-2.188 -3.125 -3.537
-2.188 -2.812 -3.470
-2.188 -2.500 -3.392
-2.188 -2.188 -3.302
-2.188 -1.875 -3.199
-2.188 -1.562 -3.083
-2.188 -1.250 -2.954
-2.188 -0.938 -2.815
-2.188 -0.625 -2.673
-2.188 -0.312 -2.529
-2.188 0.000 -2.395
-2.188 0.312 -2.272
-2.188 0.625 -2.165
-2.188 0.938 -2.075
-2.188 1.250 -2.001
-2.188 1.562 -1.942
-2.188 1.875 -1.893
-2.188 2.188 -1.855
-2.188 2.500 -1.825
-2.188 2.812 -1.800
-2.188 3.125 -1.779
-2.188 3.438 -1.762
-2.188 3.750 -1.748
-2.188 4.062 -1.736
-2.188 4.375 -1.726
-2.188 4.688 -1.717
-1.875 -5.000 -3.751
-1.875 -4.688 -3.720
-1.875 -4.375 -3.686
-1.875 -4.062 -3.647
-1.875 -3.750 -3.604
-1.875 -3.438 -3.554
-1.875 -3.125 -3.496
-1.875 -2.812 -3.430
-1.875 -2.500 -3.353
-1.875 -2.188 -3.265
-1.875 -1.875 -3.163
-1.875 -1.562 -3.048
-1.875 -1.250 -2.921
-1.875 -0.938 -2.784
-1.875 -0.625 -2.642
-1.875 -0.312 -2.501
-1.875 0.000 -2.368
-1.875 0.312 -2.246
-1.875 0.625 -2.142
-1.875 0.938 -2.053
-1.875 1.250 -1.981
-1.875 1.562 -1.922
-1.875 1.875 -1.874
-1.875 2.188 -1.837
-1.875 2.500 -1.807
-1.875 2.812 -1.782
-1.875 3.125 -1.762
-1.875 3.438 -1.745
-1.875 3.750 -1.731
-1.875 4.062 -1.719
-1.875 4.375 -1.708
-1.875 4.688 -1.700
-1.562 -5.000 -3.651
-1.562 -4.688 -3.622
-1.562 -4.375 -3.589
-1.562 -4.062 -3.553
-1.562 -3.750 -3.512
-1.562 -3.438 -3.464
-1.562 -3.125 -3.410
-1.562 -2.812 -3.346
-1.562 -2.500 -3.271
-1.562 -2.188 -3.186
-1.562 -1.875 -3.087
-1.562 -1.562 -2.974
-1.562 -1.250 -2.850
-1.562 -0.938 -2.715
-1.562 -0.625 -2.578
-1.562 -0.312 -2.440
-1.562 0.000 -2.310
-1.562 0.312 -2.193
-1.562 0.625 -2.091
-1.562 0.938 -2.006
-1.562 1.250 -1.936
-1.562 1.562 -1.879
-1.562 1.875 -1.833
-1.562 2.188 -1.797
-1.562 2.500 -1.768
-1.562 2.812 -1.744
-1.562 3.125 -1.724
-1.562 3.438 -1.707
-1.562 3.750 -1.693
-1.562 4.062 -1.681
-1.562 4.375 -1.671
-1.562 4.688 -1.662
-1.250 -5.000 -3.434
-1.250 -4.688 -3.408
-1.250 -4.375 -3.380
-1.250 -4.062 -3.348
-1.250 -3.750 -3.313
-1.250 -3.438 -3.273
-1.250 -3.125 -3.224
-1.250 -2.812 -3.165
-1.250 -2.500 -3.096
-1.250 -2.188 -3.016
-1.250 -1.875 -2.922
-1.250 -1.562 -2.815
-1.250 -1.250 -2.697
-1.250 -0.938 -2.569
-1.250 -0.625 -2.438
-1.250 -0.312 -2.308
-1.250 0.000 -2.186
-1.250 0.312 -2.076
-1.250 0.625 -1.982
-1.250 0.938 -1.903
-1.250 1.250 -1.839
-1.250 1.562 -1.787
-1.250 1.875 -1.745
-1.250 2.188 -1.711
-1.250 2.500 -1.684
-1.250 2.812 -1.661
-1.250 3.125 -1.642
-1.250 3.438 -1.625
-1.250 3.750 -1.611
-1.250 4.062 -1.599
-1.250 4.375 -1.588
-1.250 4.688 -1.579
-0.938 -5.000 -2.983
-0.938 -4.688 -2.960
-0.938 -4.375 -2.939
-0.938 -4.062 -2.915
-0.938 -3.750 -2.889
-0.938 -3.438 -2.860
-0.938 -3.125 -2.829
-0.938 -2.812 -2.793
-0.938 -2.500 -2.734
-0.938 -2.188 -2.664
-0.938 -1.875 -2.581
-0.938 -1.562 -2.486
-0.938 -1.250 -2.379
-0.938 -0.938 -2.265
-0.938 -0.625 -2.148
-0.938 -0.312 -2.033
-0.938 0.000 -1.927
-0.938 0.312 -1.833
-0.938 0.625 -1.753
-0.938 0.938 -1.687
-0.938 1.250 -1.634
-0.938 1.562 -1.591
-0.938 1.875 -1.556
-0.938 2.188 -1.528
-0.938 2.500 -1.504
-0.938 2.812 -1.484
-0.938 3.125 -1.464
-0.938 3.438 -1.447
-0.938 3.750 -1.432
-0.938 4.062 -1.420
-0.938 4.375 -1.409
-0.938 4.688 -1.399
-0.625 -5.000 -2.363
-0.625 -4.688 -2.327
-0.625 -4.375 -2.288
-0.625 -4.062 -2.242
-0.625 -3.750 -2.191
-0.625 -3.438 -2.134
-0.625 -3.125 -2.069
-0.625 -2.812 -2.034
-0.625 -2.500 -2.020
-0.625 -2.188 -2.004
-0.625 -1.875 -1.956
-0.625 -1.562 -1.880
-0.625 -1.250 -1.794
-0.625 -0.938 -1.702
-0.625 -0.625 -1.610
-0.625 -0.312 -1.521
-0.625 0.000 -1.441
-0.625 0.312 -1.373
-0.625 0.625 -1.319
-0.625 0.938 -1.275
-0.625 1.250 -1.241
-0.625 1.562 -1.214
-0.625 1.875 -1.192
-0.625 2.188 -1.168
-0.625 2.500 -1.139
-0.625 2.812 -1.114
-0.625 3.125 -1.105
-0.625 3.438 -1.119
-0.625 3.750 -1.132
-0.625 4.062 -1.143
-0.625 4.375 -1.152
-0.625 4.688 -1.160
-0.312 -5.000 -1.368
-0.312 -4.688 -1.349
-0.312 -4.375 -1.327
-0.312 -4.062 -1.301
-0.312 -3.750 -1.272
-0.312 -3.438 -1.239
-0.312 -3.125 -1.202
-0.312 -2.812 -1.161
-0.312 -2.500 -1.115
-0.312 -2.188 -1.064
-0.312 -1.875 -1.010
-0.312 -1.562 -0.951
-0.312 -1.250 -0.922
-0.312 -0.938 -0.891
-0.312 -0.625 -0.828
-0.312 -0.312 -0.771
-0.312 0.000 -0.724
-0.312 0.312 -0.688
-0.312 0.625 -0.664
-0.312 0.938 -0.648
-0.312 1.250 -0.621
-0.312 1.562 -0.608
-0.312 1.875 -0.620
-0.312 2.188 -0.631
-0.312 2.500 -0.640
-0.312 2.812 -0.649
-0.312 3.125 -0.656
-0.312 3.438 -0.662
-0.312 3.750 -0.668
-0.312 4.062 -0.673
-0.312 4.375 -0.677
-0.312 4.688 -0.681
0.000 -5.000 -0.204
0.000 -4.688 -0.199
0.000 -4.375 -0.193
0.000 -4.062 -0.186
0.000 -3.750 -0.178
0.000 -3.438 -0.169
0.000 -3.125 -0.159
0.000 -2.812 -0.148
0.000 -2.500 -0.135
0.000 -2.188 -0.121
0.000 -1.875 -0.107
0.000 -1.562 -0.090
0.000 -1.250 -0.073
0.000 -0.938 -0.055
0.000 -0.625 -0.036
0.000 -0.312 -0.018
0.000 0.000 0.000
0.000 0.312 0.018
0.000 0.625 0.036
0.000 0.938 0.055
0.000 1.250 0.073
0.000 1.562 0.090
0.000 1.875 0.107
0.000 2.188 0.121
0.000 2.500 0.135
0.000 2.812 0.148
0.000 3.125 0.159
0.000 3.438 0.169
0.000 3.750 0.178
0.000 4.062 0.186
0.000 4.375 0.193
0.000 4.688 0.199
0.312 -5.000 0.685
0.312 -4.688 0.681
0.312 -4.375 0.677
0.312 -4.062 0.673
0.312 -3.750 0.668
0.312 -3.438 0.662
0.312 -3.125 0.656
0.312 -2.812 0.649
0.312 -2.500 0.640
0.312 -2.188 0.631
0.312 -1.875 0.620
0.312 -1.562 0.608
0.312 -1.250 0.621
0.312 -0.938 0.648
0.312 -0.625 0.664
0.312 -0.312 0.688
0.312 0.000 0.724
0.312 0.312 0.771
0.312 0.625 0.828
0.312 0.938 0.891
0.312 1.250 0.922
0.312 1.562 0.951
0.312 1.875 1.010
0.312 2.188 1.064
0.312 2.500 1.115
0.312 2.812 1.161
0.312 3.125 1.202
0.312 3.438 1.239
0.312 3.750 1.272
0.312 4.062 1.301
0.312 4.375 1.327
0.312 4.688 1.349
0.625 -5.000 1.167
0.625 -4.688 1.160
0.625 -4.375 1.152
0.625 -4.062 1.143
0.625 -3.750 1.132
0.625 -3.438 1.119
0.625 -3.125 1.105
0.625 -2.812 1.114
0.625 -2.500 1.139
0.625 -2.188 1.168
0.625 -1.875 1.192
0.625 -1.562 1.214
0.625 -1.250 1.241
0.625 -0.938 1.275
0.625 -0.625 1.319
0.625 -0.312 1.373
0.625 0.000 1.441
0.625 0.312 1.521
0.625 0.625 1.610
0.625 0.938 1.702
0.625 1.250 1.794
0.625 1.562 1.880
0.625 1.875 1.956
0.625 2.188 2.004
0.625 2.500 2.020
0.625 2.812 2.034
0.625 3.125 2.069
0.625 3.438 2.134
0.625 3.750 2.191
0.625 4.062 2.242
0.625 4.375 2.288
0.625 4.688 2.327
0.938 -5.000 1.394
0.938 -4.688 1.399
0.938 -4.375 1.409
0.938 -4.062 1.420
0.938 -3.750 1.432
0.938 -3.438 1.447
0.938 -3.125 1.464
0.938 -2.812 1.484
0.938 -2.500 1.504
0.938 -2.188 1.528
0.938 -1.875 1.556
0.938 -1.562 1.591
0.938 -1.250 1.634
0.938 -0.938 1.687
0.938 -0.625 1.753
0.938 -0.312 1.833
0.938 0.000 1.927
0.938 0.312 2.033
0.938 0.625 2.148
0.938 0.938 2.265
0.938 1.250 2.379
0.938 1.562 2.486
0.938 1.875 2.581
0.938 2.188 2.664
0.938 2.500 2.734
0.938 2.812 2.793
0.938 3.125 2.829
0.938 3.438 2.860
0.938 3.750 2.889
0.938 4.062 2.915
0.938 4.375 2.939
0.938 4.688 2.960
1.250 -5.000 1.572
1.250 -4.688 1.579
1.250 -4.375 1.588
1.250 -4.062 1.599
1.250 -3.750 1.611
1.250 -3.438 1.625
1.250 -3.125 1.642
1.250 -2.812 1.661
1.250 -2.500 1.684
1.250 -2.188 1.711
1.250 -1.875 1.745
1.250 -1.562 1.787
1.250 -1.250 1.839
1.250 -0.938 1.903
1.250 -0.625 1.982
1.250 -0.312 2.076
1.250 0.000 2.186
1.250 0.312 2.308
1.250 0.625 2.438
1.250 0.938 2.569
1.250 1.250 2.697
1.250 1.562 2.815
1.250 1.875 2.922
1.250 2.188 3.016
1.250 2.500 3.096
1.250 2.812 3.165
1.250 3.125 3.224
1.250 3.438 3.273
1.250 3.750 3.313
1.250 4.062 3.348
1.250 4.375 3.380
1.250 4.688 3.408
1.562 -5.000 1.654
1.562 -4.688 1.662
1.562 -4.375 1.671
1.562 -4.062 1.681
1.562 -3.750 1.693
1.562 -3.438 1.707
1.562 -3.125 1.724
1.562 -2.812 1.744
1.562 -2.500 1.768
1.562 -2.188 1.797
1.562 -1.875 1.833
1.562 -1.562 1.879
1.562 -1.250 1.936
1.562 -0.938 2.006
1.562 -0.625 2.091
1.562 -0.312 2.193
1.562 0.000 2.310
1.562 0.312 2.440
1.562 0.625 2.578
1.562 0.938 2.715
1.562 1.250 2.850
1.562 1.562 2.974
1.562 1.875 3.087
1.562 2.188 3.186
1.562 2.500 3.271
1.562 2.812 3.346
1.562 3.125 3.410
1.562 3.438 3.464
1.562 3.750 3.512
1.562 4.062 3.553
1.562 4.375 3.589
1.562 4.688 3.622
1.875 -5.000 1.692
1.875 -4.688 1.700
1.875 -4.375 1.708
1.875 -4.062 1.719
1.875 -3.750 1.731
1.875 -3.438 1.745
1.875 -3.125 1.762
1.875 -2.812 1.782
1.875 -2.500 1.807
1.875 -2.188 1.837
1.875 -1.875 1.874
1.875 -1.562 1.922
1.875 -1.250 1.981
1.875 -0.938 2.053
1.875 -0.625 2.142
1.875 -0.312 2.246
1.875 0.000 2.368
1.875 0.312 2.501
1.875 0.625 2.642
1.875 0.938 2.784
1.875 1.250 2.921
1.875 1.562 3.048
1.875 1.875 3.163
1.875 2.188 3.265
1.875 2.500 3.353
1.875 2.812 3.430
1.875 3.125 3.496
1.875 3.438 3.554
1.875 3.750 3.604
1.875 4.062 3.647
1.875 4.375 3.686
1.875 4.688 3.720
2.188 -5.000 1.710
2.188 -4.688 1.717
2.188 -4.375 1.726
2.188 -4.062 1.736
2.188 -3.750 1.748
2.188 -3.438 1.762
2.188 -3.125 1.779
2.188 -2.812 1.800
2.188 -2.500 1.825
2.188 -2.188 1.855
2.188 -1.875 1.893
2.188 -1.562 1.942
2.188 -1.250 2.001
2.188 -0.938 2.075
2.188 -0.625 2.165
2.188 -0.312 2.272
2.188 0.000 2.395
2.188 0.312 2.529
2.188 0.625 2.673
2.188 0.938 2.815
2.188 1.250 2.954
2.188 1.562 3.083
2.188 1.875 3.199
2.188 2.188 3.302
2.188 2.500 3.392
2.188 2.812 3.470
2.188 3.125 3.537
2.188 3.438 3.595
2.188 3.750 3.647
2.188 4.062 3.691
2.188 4.375 3.731
2.188 4.688 3.766
2.500 -5.000 1.718
2.500 -4.688 1.725
2.500 -4.375 1.734
2.500 -4.062 1.745
