X A B C
-6.348 0.280 0.258 0.224
-6.328 0.280 0.258 0.225
-6.309 0.280 0.258 0.225
-6.289 0.280 0.258 0.226
-6.270 0.280 0.258 0.227
-6.250 0.281 0.258 0.227
-6.230 0.281 0.258 0.228
-6.211 0.281 0.258 0.229
-6.191 0.281 0.259 0.229
-6.172 0.281 0.259 0.230
-6.152 0.281 0.259 0.231
-6.133 0.282 0.259 0.231
-6.113 0.282 0.260 0.232
-6.094 0.282 0.260 0.233
-6.074 0.282 0.260 0.233
-6.055 0.282 0.261 0.234
-6.035 0.283 0.261 0.235
-6.016 0.283 0.262 0.236
-5.996 0.283 0.262 0.236
-5.977 0.283 0.263 0.237
-5.957 0.284 0.263 0.238
-5.938 0.284 0.264 0.239
-5.918 0.284 0.264 0.240
-5.898 0.284 0.265 0.240
-5.879 0.285 0.265 0.241
-5.859 0.285 0.266 0.242
-5.840 0.285 0.267 0.243
-5.820 0.286 0.267 0.244
-5.801 0.286 0.268 0.245
-5.781 0.286 0.269 0.246
-5.762 0.287 0.270 0.246
-5.742 0.287 0.270 0.247
-5.723 0.288 0.271 0.248
-5.703 0.288 0.272 0.249
-5.684 0.289 0.273 0.250
-5.664 0.289 0.274 0.251
-5.645 0.289 0.275 0.252
-5.625 0.290 0.276 0.253
-5.605 0.290 0.277 0.254
-5.586 0.291 0.278 0.255
-5.566 0.292 0.279 0.256
-5.547 0.292 0.280 0.257
-5.527 0.293 0.281 0.258
-5.508 0.293 0.282 0.259
-5.488 0.294 0.283 0.260
-5.469 0.294 0.284 0.261
-5.449 0.295 0.285 0.262
-5.430 0.296 0.286 0.263
-5.410 0.296 0.288 0.265
-5.391 0.297 0.289 0.266
-5.371 0.298 0.290 0.267
-5.352 0.298 0.291 0.268
-5.332 0.299 0.293 0.269
-5.312 0.300 0.294 0.270
-5.293 0.301 0.295 0.271
-5.273 0.301 0.296 0.272
-5.254 0.302 0.298 0.273
-5.234 0.303 0.299 0.275
-5.215 0.304 0.300 0.276
-5.195 0.305 0.302 0.277
-5.176 0.305 0.303 0.278
-5.156 0.306 0.304 0.279
-5.137 0.307 0.306 0.280
-5.117 0.308 0.307 0.281
-5.098 0.309 0.308 0.282
-5.078 0.310 0.310 0.284
-5.059 0.310 0.311 0.285
-5.039 0.311 0.313 0.286
-5.020 0.312 0.314 0.287
-5.000 0.313 0.315 0.288
-4.980 0.314 0.317 0.289
-4.961 0.315 0.318 0.290
-4.941 0.316 0.320 0.291
-4.922 0.317 0.321 0.292
-4.902 0.317 0.322 0.293
-4.883 0.318 0.324 0.295
-4.863 0.319 0.325 0.296
-4.844 0.320 0.326 0.297
-4.824 0.321 0.328 0.298
-4.805 0.322 0.329 0.299
-4.785 0.323 0.330 0.300
-4.766 0.324 0.332 0.301
-4.746 0.325 0.333 0.302
-4.727 0.325 0.334 0.303
-4.707 0.326 0.336 0.303
-4.688 0.327 0.337 0.304
-4.668 0.328 0.338 0.305
-4.648 0.329 0.339 0.306
-4.629 0.330 0.341 0.307
-4.609 0.331 0.342 0.308
-4.590 0.331 0.343 0.309
-4.570 0.332 0.344 0.309
-4.551 0.333 0.345 0.310
-4.531 0.334 0.347 0.311
-4.512 0.335 0.348 0.312
-4.492 0.335 0.349 0.312
-4.473 0.336 0.350 0.313
-4.453 0.337 0.351 0.314
-4.434 0.338 0.352 0.314
-4.414 0.338 0.353 0.315
-4.395 0.339 0.354 0.316
-4.375 0.340 0.355 0.316
-4.355 0.340 0.356 0.317
-4.336 0.341 0.357 0.317
-4.316 0.342 0.358 0.318
-4.297 0.343 0.359 0.318
-4.277 0.343 0.360 0.319
-4.258 0.344 0.360 0.319
-4.238 0.344 0.361 0.320
