X A B C
6.426 0.896 0.837 0.829
6.445 0.898 0.839 0.831
6.465 0.900 0.841 0.974
6.484 0.901 0.843 0.975
6.504 0.903 0.845 0.976
6.523 0.905 0.847 0.976
6.543 0.907 0.849 0.977
6.562 0.909 0.851 0.977
6.582 0.911 0.852 0.978
6.602 0.912 0.854 0.978
6.621 0.914 0.856 0.979
6.641 0.916 0.858 0.979
6.660 0.917 0.860 0.980
6.680 0.919 0.862 0.980
6.699 0.921 0.864 0.981
6.719 0.922 0.865 0.981
6.738 0.924 0.867 0.981
6.758 0.925 0.869 0.982
6.777 0.927 0.871 0.982
6.797 0.928 0.873 0.982
6.816 0.929 0.875 0.983
6.836 0.931 0.876 0.983
6.855 0.932 0.878 0.983
6.875 0.933 0.880 0.983
6.895 0.935 0.882 0.984
6.914 0.936 0.884 0.984
6.934 0.937 0.886 0.984
6.953 0.938 0.887 0.984
6.973 0.940 0.889 0.984
6.992 0.941 0.891 0.985
7.012 0.942 0.893 0.985
7.031 0.943 0.895 0.985
7.051 0.944 0.896 0.985
7.070 0.945 0.898 0.985
7.090 0.946 0.900 1.003
7.109 0.947 0.902 1.002
7.129 0.948 0.904 1.002
7.148 0.949 0.905 1.002
7.168 0.950 0.907 1.002
7.188 0.951 0.909 1.001
7.207 0.952 0.911 1.001
7.227 0.953 0.913 1.001
7.246 0.954 0.915 1.001
7.266 0.955 0.916 1.001
7.285 0.956 0.918 1.000
7.305 0.956 0.920 1.000
7.324 0.957 0.922 1.000
7.344 0.958 0.924 1.000
7.363 0.959 0.926 1.000
7.383 0.960 0.927 0.999
7.402 0.960 0.929 0.999
7.422 0.961 0.931 0.999
7.441 0.962 0.933 0.999
7.461 0.962 0.935 0.998
7.480 0.963 0.937 0.998
7.500 0.964 0.939 0.998
7.520 0.964 0.941 0.998
7.539 0.965 0.943 0.998
7.559 0.966 0.944 0.997
7.578 0.966 0.946 0.997
7.598 0.967 0.948 0.997
7.617 0.967 0.950 0.997
7.637 0.968 0.952 0.997
7.656 0.968 0.954 0.997
7.676 0.969 0.956 0.996
7.695 0.970 0.958 0.996
7.715 0.970 0.960 0.996
7.734 0.971 0.962 0.996
7.754 0.971 0.964 0.996
7.773 0.972 0.966 0.995
7.793 0.972 0.968 0.995
7.812 0.972 0.970 0.995
7.832 0.973 0.972 0.995
7.852 0.973 0.974 0.995
7.871 0.974 0.976 0.995
7.891 0.974 0.978 0.994
7.910 0.975 0.981 0.994
7.930 0.975 0.983 0.994
7.949 0.975 0.985 0.994
7.969 0.976 0.987 0.994
7.988 0.976 0.989 0.994
8.008 0.977 0.991 0.994
8.027 0.977 0.993 0.994
8.047 0.977 0.996 0.993
8.066 0.978 0.998 0.993
8.086 0.978 1.000 0.993
8.105 0.978 1.002 0.993
8.125 0.979 1.005 0.993
8.145 0.979 1.007 0.993
8.164 0.979 1.009 0.993
8.184 0.980 1.012 0.993
8.203 0.980 1.014 0.993
8.223 0.980 1.016 0.992
8.242 0.980 1.019 0.992
8.262 0.981 1.021 0.992
8.281 0.981 1.024 0.992
8.301 0.981 1.026 0.992
8.320 0.982 1.028 0.992
8.340 0.982 1.031 0.992
8.359 0.982 1.034 0.992
8.379 0.982 1.036 0.992
8.398 0.983 1.039 0.992
8.418 0.983 1.041 0.992
8.438 0.983 1.044 0.992
8.457 0.983 1.047 0.992
8.477 0.984 1.049 0.991
8.496 0.984 1.052 0.991
8.516 0.984 1.055 0.991
8.535 0.984 1.058 0.991
8.555 0.984 1.060 0.991
8.574 0.985 1.063 0.991
8.594 0.985 1.066 0.991
8.613 0.985 1.069 0.991
8.633 0.985 1.072 0.991
8.652 0.985 1.075 0.991
8.672 0.986 1.078 0.991
8.691 0.986 1.081 0.991
8.711 0.986 1.084 0.991
8.730 0.986 1.087 0.991
8.750 0.986 1.091 0.991
8.770 0.987 1.094 0.991
8.789 0.987 1.097 0.991
8.809 0.987 1.101 0.991
8.828 0.987 1.104 0.991
8.848 0.987 1.108 0.991
8.867 0.987 1.111 0.991
8.887 0.988 1.115 0.991
8.906 0.988 1.118 0.991
8.926 0.988 1.122 0.991
8.945 0.988 1.126 0.991
8.965 0.988 1.130 0.991
8.984 0.988 1.133 0.991
9.004 0.988 1.137 0.991
9.023 0.989 1.141 0.991
9.043 0.989 1.146 0.991
9.062 0.989 1.150 0.991
9.082 0.989 1.154 0.991
9.102 0.989 1.158 0.991
9.121 0.989 1.163 0.991
9.141 0.989 1.168 0.991
9.160 0.990 1.172 0.991
9.180 0.990 1.177 0.992
9.199 0.990 1.182 0.992
9.219 0.990 1.187 0.992
9.238 0.990 1.192 0.992
9.258 0.990 1.197 0.992
9.277 0.990 0.991 0.992
9.297 0.990 0.991 0.992
9.316 0.990 0.991 0.992
9.336 0.991 0.991 0.992
9.355 0.991 0.991 0.992
9.375 0.991 0.991 0.992
9.395 0.991 0.992 0.992
9.414 0.991 0.992 0.992
9.434 0.991 0.992 0.992
9.453 0.991 0.992 0.992
9.473 0.991 0.992 0.992
9.492 0.991 0.992 0.992
9.512 0.992 0.992 0.992
9.531 0.992 0.992 0.993
9.551 0.992 0.992 0.993
9.570 0.992 0.992 0.993
9.590 0.992 0.993 0.993
9.609 0.992 0.993 0.993
9.629 0.992 0.993 0.993
9.648 0.992 0.993 0.993
9.668 0.992 0.993 0.993
9.688 0.992 0.993 0.993
9.707 0.992 0.993 0.993
9.727 0.993 0.993 0.993
9.746 0.993 0.993 0.993
9.766 0.993 0.993 0.993
9.785 0.993 0.993 0.993
9.805 0.993 0.994 0.993
9.824 0.993 0.994 0.994
9.844 0.993 0.994 0.994
9.863 0.993 0.994 0.994
9.883 0.993 0.994 0.994
9.902 0.993 0.994 0.994
9.922 0.993 0.994 0.994
9.941 0.993 0.994 0.994
9.961 0.994 0.994 0.994
9.980 0.994 0.994 0.994
